,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
1219,mNMbN,18,6,0.75,24,0.5,4,0.75,4,1.0,3,0.67,3,1.0,6,0.8,20
1222,mNMnn,12,11,0.52,23,0.6,5,0.67,3,0.67,3,1.0,5,1.0,5,0.8095238095238095,21
1228,mNNPP,22,17,0.56,39,0.62,16,0.6,5,1.0,3,0.6,5,0.83,6,0.6857142857142857,35
1232,mNNsS,13,10,0.57,23,1.0,1,1.0,2,0.5,4,0.5,2,0.8,5,0.7142857142857143,14
1237,mNPPP,21,17,0.55,38,0.71,7,0.55,11,0.6,10,0.62,13,0.75,12,0.6415094339622641,53
1246,mNSPP,11,10,0.52,21,0.5,2,0.57,7,0.5,4,0.8,5,1.0,3,0.6666666666666666,21
1303,mbBnN,14,13,0.52,27,0.71,7,1.0,3,0.67,3,1.0,3,0.55,11,0.7037037037037037,27
1323,mbbbN,13,12,0.52,25,0.5,4,1.0,3,1.0,3,0.67,3,0.67,3,0.75,16
1326,mbbnP,13,10,0.57,23,0.5,8,1.0,1,0.75,4,0.75,4,0.75,4,0.6666666666666666,21
1330,mmBNP,12,11,0.52,23,0.75,4,0.5,6,0.5,4,1.0,2,1.0,2,0.6666666666666666,18
1374,mnPPP,15,12,0.56,27,0.7,10,1.0,5,0.64,11,0.75,8,0.54,13,0.6808510638297872,47
1379,mnnNn,15,15,0.5,30,0.5,6,0.5,2,0.5,10,0.57,7,0.83,6,0.5806451612903226,31
1401,nMNnm,12,9,0.57,21,0.5,2,0.6,5,1.0,1,1.0,1,0.5,2,0.6363636363636364,11
1407,nMmNN,16,15,0.52,31,0.57,7,1.0,4,0.5,2,0.5,2,0.75,4,0.6842105263157895,19
1418,nNBPm,14,11,0.56,25,0.5,2,0.5,2,0.6,5,0.6,5,1.0,1,0.6,15
1456,nNPNm,15,11,0.58,26,0.88,8,0.75,4,0.57,7,1.0,2,0.5,6,0.7037037037037037,27
1458,nNPPN,18,9,0.67,27,0.75,8,0.75,4,0.5,8,0.56,16,0.67,12,0.625,48
1461,nNPPn,15,10,0.6,25,0.78,9,0.56,9,0.67,6,0.5,4,0.5,16,0.5909090909090909,44
1466,nNPmn,16,9,0.64,25,0.6,5,0.57,7,0.67,3,0.5,4,0.67,3,0.5909090909090909,22
1467,nNPnm,15,12,0.56,27,0.6,5,0.5,2,1.0,1,1.0,2,0.64,11,0.6666666666666666,21
1518,nPNNP,18,12,0.6,30,1.0,1,0.71,7,0.5,4,0.71,7,0.56,9,0.6428571428571429,28
1519,nPNNm,16,12,0.57,28,0.5,8,1.0,1,0.5,4,1.0,1,0.67,9,0.6086956521739131,23
1524,nPNmS,11,10,0.52,21,1.0,3,0.5,4,0.57,7,1.0,1,0.5,2,0.6470588235294118,17
1526,nPNnN,14,11,0.56,25,0.8,5,0.5,8,0.5,6,0.75,8,0.62,8,0.6285714285714286,35
1529,nPNns,13,10,0.57,23,0.67,3,1.0,1,0.5,6,0.75,8,1.0,2,0.7,20
1530,nPPBb,15,13,0.54,28,0.5,6,0.5,4,0.57,7,0.5,10,0.6,5,0.53125,32
1549,nPSsS,11,11,0.5,22,1.0,1,1.0,2,0.86,7,0.5,2,0.57,7,0.7368421052631579,19
1552,nPbmM,11,10,0.52,21,0.5,4,1.0,3,1.0,2,0.5,2,0.5,8,0.631578947368421,19
1553,nPmNn,15,8,0.65,23,0.83,6,0.6,5,0.7,10,0.8,5,0.5,4,0.7,30
1561,nPnPm,15,10,0.6,25,0.75,4,0.8,5,0.62,8,0.6,5,0.86,7,0.7241379310344828,29
1564,nPsmH,12,9,0.57,21,0.75,4,1.0,3,1.0,2,0.67,3,0.75,4,0.8125,16
1576,nbMNn,13,8,0.62,21,1.0,1,1.0,2,1.0,3,0.8,5,0.8,5,0.875,16
1584,nbbbN,14,8,0.64,22,0.5,2,0.75,4,0.8,5,0.5,6,0.5,2,0.631578947368421,19
1589,nmMNn,17,13,0.57,30,0.67,6,0.6,5,0.67,6,0.67,6,0.5,4,0.6296296296296297,27
1630,nnNsN,15,10,0.6,25,1.0,1,0.5,2,1.0,1,0.86,7,0.5,2,0.7692307692307693,13
1632,nnPMn,11,11,0.5,22,1.0,1,0.5,2,0.83,6,0.5,4,0.55,11,0.625,24
1645,nnbNn,16,13,0.55,29,0.5,6,0.75,4,0.6,5,0.5,12,0.8,10,0.6216216216216216,37
1650,nnnNn,19,9,0.68,28,0.56,9,0.56,9,0.57,7,0.6,5,0.56,9,0.5641025641025641,39
1687,sNnMn,15,7,0.68,22,0.5,2,0.67,3,0.5,2,0.5,2,1.0,3,0.6666666666666666,12
1720,sSsPS,12,9,0.57,21,1.0,2,1.0,3,1.0,1,1.0,1,1.0,3,1.0,10
1737,snNNn,14,11,0.56,25,0.57,7,1.0,1,0.67,6,1.0,4,0.6,5,0.6956521739130435,23
1745,ssSMN,14,12,0.54,26,0.5,2,0.67,3,0.5,4,1.0,1,1.0,1,0.6363636363636364,11
