,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,4598,4732,9330,0.49,H
1,MARUBOZU,1,bullish,5609,6398,12007,0.47,M
2,INVERTEDHAMMER,1,bullish,1575,1290,2865,0.55,I
3,PIERCING,2,bullish,242,242,484,0.5,mM
4,ENGULFING,2,bullish,6195,6831,13026,0.48,HM
5,HARAMI,2,bullish,5168,4824,9992,0.52,mP
6,COUNTERATTACK,2,bullish,11,8,19,0.58,lB
7,BELTHOLD,2,bullish,14869,15899,30768,0.48,sM
8,MORNINGSTAR,3,bullish,611,644,1255,0.49,bJM
9,3WHITESOLDIERS,3,bullish,221,254,475,0.47,MMM
10,3INSIDE,3,bullish,893,966,1859,0.48,bNL
11,3OUTSIDE,3,bullish,2859,3269,6128,0.47,HMP
12,3STARSINSOUTH,3,bullish,1,0,1,1.0,bKs
13,TASUKIGAP,3,bullish,117,107,224,0.52,PBm
14,HIKKAKE,3,bullish,7673,7068,14741,0.52,bnS
15,3LINESTRIKE,4,bullish,384,302,686,0.56,SPNb
16,CONCEALBABYSWALL,4,bullish,2,0,2,1.0,ssIP
17,RISEFALL3METHODS,5,bullish,37,34,71,0.52,MsPsM
18,BREAKAWAY,5,bullish,4,1,5,0.8,lJnPN
19,LADDERBOTTOM,5,bullish,45,29,74,0.61,lsbPM
20,MATHOLD,5,bullish,1,1,2,0.5,MsnPM
21,HANGINGMAN,1,bearish,3297,3735,7032,0.47,H
22,MARUBOZU,1,bearish,5771,4758,10529,0.55,m
23,SHOOTINGSTAR,1,bearish,1652,1527,3179,0.52,t
24,DARKCLOUDCOVER,2,bearish,455,380,835,0.54,Mn
25,ENGULFING,2,bearish,8895,7674,16569,0.54,Nb
26,HARAMI,2,bearish,4198,4191,8389,0.5,MP
27,ONNECK,2,bearish,129,127,256,0.5,mJ
28,COUNTERATTACK,2,bearish,7,7,14,0.5,Mb
29,2CROWS,2,bearish,22,26,48,0.46,nb
30,BELTHOLD,2,bearish,16779,14590,31369,0.53,Pm
31,EVENINGSTAR,3,bearish,874,689,1563,0.56,MNl
32,EVENINGDOJISTAR,3,bearish,320,226,546,0.59,Lhb
33,3BLACKCROWS,3,bearish,68,73,141,0.48,mmm
34,3INSIDE,3,bearish,850,683,1533,0.55,Mnb
35,3OUTSIDE,3,bearish,4004,3523,7527,0.53,Nsn
36,ADVANCEBLOCK,3,bearish,1838,1988,3826,0.48,MBP
37,TASUKIGAP,3,bearish,80,94,174,0.46,mmM
38,HIKKAKE,3,bearish,7866,7926,15792,0.5,bNL
39,3LINESTRIKE,4,bearish,215,245,460,0.47,bmsM
40,RISEFALL3METHODS,5,bearish,22,22,44,0.5,bPPSm
41,BREAKAWAY,5,bearish,6,6,12,0.5,BNSLb
