,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,4552,5086,9638,0.47,H
1,MARUBOZU,1,bullish,6793,8091,14884,0.46,M
2,INVERTEDHAMMER,1,bullish,1764,1518,3282,0.54,I
3,PIERCING,2,bullish,205,243,448,0.46,mB
4,ENGULFING,2,bullish,4148,4382,8530,0.49,nB
5,HARAMI,2,bullish,3735,3669,7404,0.5,bN
6,COUNTERATTACK,2,bullish,18,17,35,0.51,mM
7,BELTHOLD,2,bullish,16352,17758,34110,0.48,nM
8,MORNINGSTAR,3,bullish,486,491,977,0.5,mJB
9,3WHITESOLDIERS,3,bullish,210,233,443,0.47,NMM
10,3INSIDE,3,bullish,641,693,1334,0.48,mNM
11,3OUTSIDE,3,bullish,1802,2114,3916,0.46,bLB
12,3STARSINSOUTH,3,bullish,1,0,1,1.0,bss
13,TASUKIGAP,3,bullish,72,71,143,0.5,LBm
14,HIKKAKE,3,bullish,5813,5378,11191,0.52,BPl
15,3LINESTRIKE,4,bullish,184,170,354,0.52,PNNb
16,CONCEALBABYSWALL,4,bullish,2,0,2,1.0,smsb
17,RISEFALL3METHODS,5,bullish,13,23,36,0.36,MnPHB
18,BREAKAWAY,5,bullish,1,2,3,0.33,bnPHL
19,LADDERBOTTOM,5,bullish,26,31,57,0.46,HbmnS
20,MATHOLD,5,bullish,0,1,1,0.0,BnnSh
21,HANGINGMAN,1,bearish,3408,3777,7185,0.47,h
22,MARUBOZU,1,bearish,8821,7228,16049,0.55,m
23,SHOOTINGSTAR,1,bearish,1471,1357,2828,0.52,t
24,DARKCLOUDCOVER,2,bearish,325,297,622,0.52,Mm
25,ENGULFING,2,bearish,5953,5168,11121,0.54,Pl
26,HARAMI,2,bearish,3642,3602,7244,0.5,BP
27,ONNECK,2,bearish,205,182,387,0.53,mS
28,COUNTERATTACK,2,bearish,22,41,63,0.35,Bl
29,2CROWS,2,bearish,16,11,27,0.59,mn
30,BELTHOLD,2,bearish,18665,16262,34927,0.53,lm
31,EVENINGSTAR,3,bearish,588,483,1071,0.55,BNm
32,EVENINGDOJISTAR,3,bearish,223,184,407,0.55,Mtm
33,3BLACKCROWS,3,bearish,69,63,132,0.52,snm
34,3INSIDE,3,bearish,687,570,1257,0.55,MPl
35,3OUTSIDE,3,bearish,2615,2293,4908,0.53,Nmn
36,ADVANCEBLOCK,3,bearish,1322,1339,2661,0.5,LNN
37,TASUKIGAP,3,bearish,52,62,114,0.46,NbB
38,HIKKAKE,3,bearish,5461,5662,11123,0.49,PBB
39,3LINESTRIKE,4,bearish,107,123,230,0.47,HbsL
40,RISEFALL3METHODS,5,bearish,24,16,40,0.6,mSSSb
41,BREAKAWAY,5,bearish,4,3,7,0.57,BMlBm
