candlestick_code3,label_increase,label_decrease,occurrence,percentage
BBB,362,419,781,0.46
BBD,57,52,109,0.52
BBH,6,2,8,0.75
BBI,0,2,2,0.0
BBK,37,28,65,0.57
BBL,73,99,172,0.42
BBM,247,323,570,0.43
BBN,342,379,721,0.47
BBP,401,402,803,0.5
BBS,147,139,286,0.51
BBb,325,302,627,0.52
BBh,24,23,47,0.51
BBj,57,65,122,0.47
BBl,99,101,200,0.5
BBm,379,327,706,0.54
BBn,446,412,858,0.52
BBs,137,138,275,0.5
BBt,52,43,95,0.55
BDB,45,59,104,0.43
BDD,38,20,58,0.66
BDH,50,61,111,0.45
BDI,8,4,12,0.67
BDK,1,1,2,0.5
BDL,28,22,50,0.56
BDM,58,76,134,0.43
BDN,46,61,107,0.43
BDP,67,72,139,0.48
BDS,53,52,105,0.5
BDb,46,49,95,0.48
BDh,3,4,7,0.43
BDl,23,18,41,0.56
BDm,93,82,175,0.53
BDn,51,49,100,0.51
BDs,45,55,100,0.45
BDt,5,5,10,0.5
BHB,5,3,8,0.62
BHD,1,0,1,1.0
BHH,1,1,2,0.5
BHI,0,1,1,0.0
BHK,1,0,1,1.0
BHL,2,1,3,0.67
BHM,6,5,11,0.55
BHN,1,4,5,0.2
BHP,4,3,7,0.57
BHS,2,3,5,0.4
BHb,3,1,4,0.75
BHh,1,1,2,0.5
BHl,2,0,2,1.0
BHm,4,3,7,0.57
BHn,3,0,3,1.0
BHs,4,2,6,0.67
BIB,3,1,4,0.75
BIL,0,0,0,
BIM,1,0,1,1.0
BIb,2,1,3,0.67
BIm,1,1,2,0.5
BIn,0,1,1,0.0
BIs,0,1,1,0.0
BKB,31,31,62,0.5
BKD,8,11,19,0.42
BKH,8,2,10,0.8
BKI,4,10,14,0.29
BKK,1,0,1,1.0
BKL,14,14,28,0.5
BKM,40,57,97,0.41
BKN,32,42,74,0.43
BKP,54,58,112,0.48
BKS,27,32,59,0.46
BKb,31,25,56,0.55
BKh,30,41,71,0.42
BKl,17,14,31,0.55
BKm,57,56,113,0.5
BKn,33,31,64,0.52
BKs,29,33,62,0.47
BKt,6,3,9,0.67
BLB,80,92,172,0.47
BLD,12,12,24,0.5
BLH,0,2,2,0.0
BLK,4,8,12,0.33
BLL,21,35,56,0.38
BLM,67,92,159,0.42
BLN,73,86,159,0.46
BLP,139,114,253,0.55
BLS,43,38,81,0.53
BLb,99,81,180,0.55
BLh,27,35,62,0.44
BLj,18,25,43,0.42
BLl,38,40,78,0.49
BLm,124,119,243,0.51
BLn,105,139,244,0.43
BLs,54,45,99,0.55
BLt,12,13,25,0.48
BMB,267,326,593,0.45
BMD,58,47,105,0.55
BMH,3,3,6,0.5
BMI,1,1,2,0.5
BMK,3,5,8,0.38
BML,67,60,127,0.53
BMM,223,280,503,0.44
BMN,268,305,573,0.47
BMP,326,335,661,0.49
BMS,127,168,295,0.43
BMb,306,290,596,0.51
BMh,225,230,455,0.49
BMj,42,41,83,0.51
BMl,87,80,167,0.52
BMm,432,322,754,0.57
BMn,376,364,740,0.51
BMs,165,159,324,0.51
BMt,36,27,63,0.57
BNB,284,360,644,0.44
BND,66,74,140,0.47
BNH,51,46,97,0.53
BNI,7,13,20,0.35
BNK,27,33,60,0.45
BNL,83,94,177,0.47
BNM,242,394,636,0.38
BNN,397,440,837,0.47
BNP,462,512,974,0.47
BNS,191,284,475,0.4
BNb,255,292,547,0.47
BNh,127,131,258,0.49
BNl,95,92,187,0.51
BNm,425,404,829,0.51
BNn,491,469,960,0.51
BNs,253,242,495,0.51
BNt,50,36,86,0.58
BPB,317,372,689,0.46
BPD,69,66,135,0.51
BPH,91,103,194,0.47
BPI,38,41,79,0.48
BPK,48,55,103,0.47
BPL,125,164,289,0.43
BPM,331,412,743,0.45
BPN,399,451,850,0.47
BPP,582,626,1208,0.48
BPS,259,269,528,0.49
BPb,332,293,625,0.53
BPh,46,54,100,0.46
BPl,163,142,305,0.53
BPm,475,455,930,0.51
BPn,377,379,756,0.5
BPs,228,249,477,0.48
BPt,34,25,59,0.58
BSB,136,157,293,0.46
BSD,35,35,70,0.5
BSH,59,74,133,0.44
BSI,11,3,14,0.79
BSK,3,2,5,0.6
BSL,44,55,99,0.44
BSM,191,216,407,0.47
BSN,171,187,358,0.48
BSP,205,201,406,0.5
BSS,166,187,353,0.47
BSb,128,143,271,0.47
BSh,73,77,150,0.49
BSl,50,60,110,0.45
BSm,202,170,372,0.54
BSn,163,165,328,0.5
BSs,166,164,330,0.5
BSt,21,23,44,0.48
BbB,289,287,576,0.5
BbD,39,40,79,0.49
BbH,68,90,158,0.43
BbI,41,34,75,0.55
BbJ,70,84,154,0.45
BbK,28,34,62,0.45
BbL,72,96,168,0.43
BbM,228,317,545,0.42
BbN,340,379,719,0.47
BbP,380,353,733,0.52
BbS,128,179,307,0.42
Bbb,250,234,484,0.52
Bbh,3,2,5,0.6
Bbl,89,88,177,0.5
Bbm,291,243,534,0.54
Bbn,300,258,558,0.54
Bbs,157,135,292,0.54
Bbt,1,0,1,1.0
BhB,34,27,61,0.56
BhD,3,8,11,0.27
BhH,3,4,7,0.43
BhI,2,5,7,0.29
BhK,0,0,0,
BhL,16,16,32,0.5
BhM,24,41,65,0.37
BhN,31,33,64,0.48
BhP,32,47,79,0.41
BhS,22,21,43,0.51
Bhb,34,25,59,0.58
Bhh,28,27,55,0.51
Bhl,9,12,21,0.43
Bhm,37,39,76,0.49
Bhn,44,44,88,0.5
Bhs,28,24,52,0.54
Bht,5,3,8,0.62
BjB,58,89,147,0.39
BjD,8,8,16,0.5
BjH,14,13,27,0.52
BjI,9,4,13,0.69
BjK,4,3,7,0.57
BjL,23,30,53,0.43
BjM,51,80,131,0.39
BjN,75,54,129,0.58
BjP,81,81,162,0.5
BjS,44,54,98,0.45
Bjb,70,62,132,0.53
Bjh,10,13,23,0.43
Bjl,15,21,36,0.42
Bjm,71,84,155,0.46
Bjn,64,70,134,0.48
Bjs,51,40,91,0.56
Bjt,6,10,16,0.38
BlB,92,90,182,0.51
BlD,12,14,26,0.46
BlH,62,57,119,0.52
BlI,11,10,21,0.52
BlJ,28,26,54,0.52
BlK,5,7,12,0.42
BlL,33,38,71,0.46
BlM,88,98,186,0.47
BlN,96,132,228,0.42
BlP,118,114,232,0.51
BlS,72,70,142,0.51
Blb,69,67,136,0.51
Blh,0,1,1,0.0
Bll,33,23,56,0.59
Blm,122,86,208,0.59
Bln,93,89,182,0.51
Bls,62,67,129,0.48
BmB,240,325,565,0.42
BmD,112,97,209,0.54
BmH,239,313,552,0.43
BmI,29,18,47,0.62
BmJ,67,60,127,0.53
BmK,5,10,15,0.33
BmL,93,107,200,0.46
BmM,315,430,745,0.42
BmN,434,436,870,0.5
BmP,440,427,867,0.51
BmS,211,242,453,0.47
Bmb,310,251,561,0.55
Bmh,1,0,1,1.0
Bml,93,71,164,0.57
Bmm,405,336,741,0.55
Bmn,367,321,688,0.53
Bms,223,223,446,0.5
Bmt,0,1,1,0.0
BnB,335,351,686,0.49
BnD,74,70,144,0.51
BnH,195,197,392,0.5
BnI,65,70,135,0.48
BnK,28,53,81,0.35
BnL,118,106,224,0.53
BnM,351,437,788,0.45
BnN,545,547,1092,0.5
BnP,555,551,1106,0.5
BnS,263,291,554,0.47
Bnb,321,290,611,0.53
Bnh,19,31,50,0.38
Bnl,132,111,243,0.54
Bnm,452,382,834,0.54
Bnn,473,452,925,0.51
Bns,287,267,554,0.52
Bnt,3,3,6,0.5
BsB,108,124,232,0.47
BsD,38,37,75,0.51
BsH,130,151,281,0.46
BsI,28,24,52,0.54
BsK,4,4,8,0.5
BsL,40,42,82,0.49
BsM,164,169,333,0.49
BsN,180,184,364,0.49
BsP,200,216,416,0.48
BsS,168,176,344,0.49
Bsb,116,102,218,0.53
Bsh,10,8,18,0.56
Bsl,54,45,99,0.55
Bsm,180,151,331,0.54
Bsn,182,162,344,0.53
Bss,146,144,290,0.5
Bst,1,3,4,0.25
BtB,35,36,71,0.49
BtD,7,4,11,0.64
BtH,21,21,42,0.5
BtI,2,2,4,0.5
BtK,3,2,5,0.6
BtL,11,17,28,0.39
BtM,34,55,89,0.38
BtN,45,43,88,0.51
BtP,45,61,106,0.42
BtS,33,33,66,0.5
Btb,32,32,64,0.5
Bth,2,1,3,0.67
Btl,7,12,19,0.37
Btm,49,44,93,0.53
Btn,38,42,80,0.48
Bts,23,27,50,0.46
Btt,12,8,20,0.6
DBB,61,74,135,0.45
DBD,19,21,40,0.48
DBK,15,17,32,0.47
DBL,14,22,36,0.39
DBM,58,86,144,0.4
DBN,68,72,140,0.49
DBP,68,84,152,0.45
DBS,50,39,89,0.56
DBb,64,41,105,0.61
DBh,4,10,14,0.29
DBj,16,8,24,0.67
DBl,22,18,40,0.55
DBm,98,75,173,0.57
DBn,76,75,151,0.5
DBs,39,29,68,0.57
DBt,5,5,10,0.5
DDB,38,33,71,0.54
DDD,64,21,85,0.75
DDH,29,34,63,0.46
DDI,4,2,6,0.67
DDK,0,0,0,
DDL,17,15,32,0.53
DDM,57,52,109,0.52
DDN,30,30,60,0.5
DDP,46,51,97,0.47
DDS,32,37,69,0.46
DDb,21,30,51,0.41
DDh,1,3,4,0.25
DDl,7,14,21,0.33
DDm,60,70,130,0.46
DDn,23,23,46,0.5
DDs,24,34,58,0.41
DDt,5,3,8,0.62
DHB,48,50,98,0.49
DHD,23,20,43,0.53
DHH,14,17,31,0.45
DHI,4,11,15,0.27
DHK,4,3,7,0.57
DHL,24,19,43,0.56
DHM,76,85,161,0.47
DHN,54,55,109,0.5
DHP,79,74,153,0.52
DHS,68,63,131,0.52
DHb,53,59,112,0.47
DHh,49,38,87,0.56
DHl,29,16,45,0.64
DHm,113,87,200,0.56
DHn,65,51,116,0.56
DHs,56,51,107,0.52
DHt,7,3,10,0.7
DIB,3,5,8,0.38
DID,4,3,7,0.57
DIH,3,7,10,0.3
DII,1,0,1,1.0
DIL,4,4,8,0.5
DIM,7,7,14,0.5
DIN,9,2,11,0.82
DIP,6,9,15,0.4
DIS,5,6,11,0.45
DIb,4,5,9,0.44
DIh,1,0,1,1.0
DIl,3,1,4,0.75
DIm,6,9,15,0.4
DIn,7,5,12,0.58
DIs,6,5,11,0.55
DIt,0,0,0,
DKB,2,0,2,1.0
DKD,2,0,2,1.0
DKH,0,1,1,0.0
DKI,0,0,0,
DKM,1,3,4,0.25
DKN,0,1,1,0.0
DKP,2,0,2,1.0
DKS,0,1,1,0.0
DKb,0,1,1,0.0
DKl,0,1,1,0.0
DKm,1,1,2,0.5
DKn,0,0,0,
DKs,0,0,0,
DLB,21,31,52,0.4
DLD,7,9,16,0.44
DLH,1,0,1,1.0
