,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
11,BBNs,46,39,0.54,85,0.82,11,0.56,16,0.8,15,0.57,7,0.67,12,0.6885245901639344,61
25,BBbm,67,44,0.6,111,0.53,30,0.75,20,0.59,27,0.5,14,0.5,10,0.5841584158415841,101
41,BBmn,76,73,0.51,149,0.65,17,0.6,25,0.62,21,0.67,12,0.59,22,0.6185567010309279,97
56,BLMn,13,11,0.54,24,0.6,5,0.8,5,0.5,10,0.7,10,0.75,8,0.6578947368421053,38
65,BLPm,16,15,0.52,31,0.75,4,0.57,7,0.56,9,0.7,10,0.56,9,0.6153846153846154,39
88,BMNl,13,13,0.5,26,1.0,1,1.0,3,0.5,8,0.5,6,0.86,7,0.68,25
89,BMPM,49,49,0.5,98,0.57,21,0.75,16,0.5,16,0.52,31,0.57,28,0.5714285714285714,112
98,BMbH,19,16,0.54,35,0.67,6,0.75,8,0.62,8,0.57,7,0.56,9,0.631578947368421,38
118,BMnI,13,12,0.52,25,0.5,2,1.0,1,0.5,2,1.0,2,0.5,2,0.6666666666666666,9
122,BMnm,74,51,0.59,125,0.52,23,0.62,21,0.62,16,0.74,19,0.62,26,0.6190476190476191,105
126,BMtP,13,11,0.54,24,0.75,4,1.0,2,0.5,4,0.67,3,1.0,2,0.7333333333333333,15
136,BNLb,14,13,0.52,27,0.71,7,0.75,4,0.5,6,0.6,10,0.67,6,0.6363636363636364,33
139,BNMj,14,7,0.67,21,0.6,5,0.67,3,1.0,1,0.75,4,1.0,2,0.7333333333333333,15
152,BNPb,52,51,0.5,103,0.62,24,0.57,35,0.56,52,0.52,29,0.71,34,0.5919540229885057,174
175,BNlm,29,15,0.66,44,0.67,6,0.75,4,0.67,12,1.0,6,0.5,8,0.6944444444444444,36
188,BNnl,25,16,0.61,41,0.78,9,0.6,10,0.5,12,0.71,7,0.61,18,0.625,56
194,BPBS,24,21,0.53,45,0.6,10,0.54,13,0.62,13,0.62,8,0.5,10,0.5740740740740741,54
199,BPHm,18,14,0.56,32,0.6,10,1.0,3,0.8,5,0.5,4,0.8,5,0.7037037037037037,27
206,BPMl,20,15,0.57,35,0.5,8,0.6,10,0.59,17,0.5,18,0.6,15,0.5588235294117647,68
235,BPlP,23,14,0.62,37,0.58,12,0.58,19,0.52,25,0.57,14,0.6,15,0.5647058823529412,85
245,BPms,61,44,0.58,105,0.53,15,0.5,20,0.5,8,0.5,6,0.64,11,0.5333333333333333,60
257,BSBn,34,33,0.51,67,0.67,18,0.57,14,0.62,8,0.78,9,0.64,11,0.65,60
265,BSNP,36,27,0.57,63,0.62,16,0.5,8,0.86,14,0.57,14,0.54,13,0.6307692307692307,65
270,BSPm,45,30,0.6,75,0.79,14,0.53,17,0.64,14,0.6,5,0.69,13,0.6507936507936508,63
321,BbNm,81,56,0.59,137,0.68,31,0.58,24,0.64,22,0.65,17,0.64,14,0.6388888888888888,108
330,BbPs,42,38,0.52,80,0.5,16,0.55,11,0.63,19,0.61,18,0.53,19,0.5662650602409639,83
