candlestick_code5,label_increase,label_decrease,occurrence,percentage
BBBBB,1,1,2,0.5
BBBBL,1,0,1,1.0
BBBBM,4,0,4,1.0
BBBBN,3,1,4,0.75
BBBBP,4,3,7,0.57
BBBBS,1,1,2,0.5
BBBBb,1,1,2,0.5
BBBBj,1,1,2,0.5
BBBBm,2,0,2,1.0
BBBBn,1,2,3,0.33
BBBBs,1,1,2,0.5
BBBBt,2,0,2,1.0
BBBDL,0,1,1,0.0
BBBDn,1,0,1,1.0
BBBLB,3,0,3,1.0
BBBLP,0,1,1,0.0
BBBLS,0,1,1,0.0
BBBLb,0,3,3,0.0
BBBLn,1,0,1,1.0
BBBLs,0,0,0,
BBBMB,1,2,3,0.33
BBBMD,0,1,1,0.0
BBBML,0,1,1,0.0
BBBMM,0,3,3,0.0
BBBMN,3,0,3,1.0
BBBMP,0,1,1,0.0
BBBMS,1,0,1,1.0
BBBMb,0,3,3,0.0
BBBMh,1,1,2,0.5
BBBMj,1,0,1,1.0
BBBMl,0,1,1,0.0
BBBMm,1,0,1,1.0
BBBMn,1,1,2,0.5
BBBNL,0,1,1,0.0
BBBNM,0,2,2,0.0
BBBNN,1,3,4,0.25
BBBNP,1,1,2,0.5
BBBNS,2,0,2,1.0
BBBNb,1,0,1,1.0
BBBNh,0,3,3,0.0
BBBNl,2,1,3,0.67
BBBNm,1,1,2,0.5
BBBNn,2,7,9,0.22
BBBNs,1,1,2,0.5
BBBNt,0,2,2,0.0
BBBPB,2,3,5,0.4
BBBPD,0,1,1,0.0
BBBPL,1,0,1,1.0
BBBPM,3,2,5,0.6
BBBPN,0,1,1,0.0
BBBPP,5,1,6,0.83
BBBPS,0,1,1,0.0
BBBPb,2,2,4,0.5
BBBPh,0,0,0,
BBBPl,0,2,2,0.0
BBBPm,1,1,2,0.5
BBBPn,0,2,2,0.0
BBBPs,1,1,2,0.5
BBBSH,0,1,1,0.0
BBBSN,0,0,0,
BBBSS,0,1,1,0.0
BBBSb,0,2,2,0.0
BBBSl,0,1,1,0.0
BBBSn,1,0,1,1.0
BBBSs,1,0,1,1.0
BBBSt,0,1,1,0.0
BBBbB,2,2,4,0.5
BBBbH,0,1,1,0.0
BBBbJ,0,3,3,0.0
BBBbL,0,1,1,0.0
BBBbM,3,1,4,0.75
BBBbN,2,1,3,0.67
BBBbP,6,2,8,0.75
BBBbS,1,0,1,1.0
BBBbb,0,0,0,
BBBbl,1,0,1,1.0
BBBbm,3,2,5,0.6
BBBbn,2,1,3,0.67
BBBbs,0,1,1,0.0
BBBjB,2,0,2,1.0
BBBjb,1,0,1,1.0
BBBjm,2,1,3,0.67
BBBlB,0,1,1,0.0
BBBlJ,1,0,1,1.0
BBBlP,2,1,3,0.67
BBBlb,1,2,3,0.33
BBBlm,0,1,1,0.0
BBBln,0,1,1,0.0
BBBls,0,1,1,0.0
BBBmB,2,2,4,0.5
BBBmH,0,1,1,0.0
BBBmI,0,0,0,
BBBmJ,0,1,1,0.0
BBBmM,2,1,3,0.67
BBBmN,3,2,5,0.6
BBBmP,1,0,1,1.0
