,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,26237,27894,54131,0.48,H
1,MARUBOZU,1,bullish,35347,42931,78278,0.45,M
2,INVERTEDHAMMER,1,bullish,10190,8780,18970,0.54,I
3,PIERCING,2,bullish,1612,1863,3475,0.46,mB
4,ENGULFING,2,bullish,21703,24478,46181,0.47,nM
5,HARAMI,2,bullish,19747,19715,39462,0.5,mS
6,COUNTERATTACK,2,bullish,101,108,209,0.48,mM
7,BELTHOLD,2,bullish,79085,89983,169068,0.47,mB
8,MORNINGSTAR,3,bullish,2600,3033,5633,0.46,mHM
9,3WHITESOLDIERS,3,bullish,1345,1679,3024,0.44,MMM
10,3INSIDE,3,bullish,3292,3656,6948,0.47,mNM
11,3OUTSIDE,3,bullish,9854,11123,20977,0.47,PLK
12,3STARSINSOUTH,3,bullish,1,0,1,1.0,bKs
13,TASUKIGAP,3,bullish,545,489,1034,0.53,MNn
14,HIKKAKE,3,bullish,31713,30794,62507,0.51,Nnn
15,3LINESTRIKE,4,bullish,739,640,1379,0.54,MMjb
16,CONCEALBABYSWALL,4,bullish,8,8,16,0.5,msPb
17,RISEFALL3METHODS,5,bullish,83,93,176,0.47,BhssM
18,BREAKAWAY,5,bullish,11,13,24,0.46,llbPL
19,LADDERBOTTOM,5,bullish,213,271,484,0.44,bbmPB
20,MATHOLD,5,bullish,2,5,7,0.29,BjsSS
21,HANGINGMAN,1,bearish,17318,20171,37489,0.46,h
22,MARUBOZU,1,bearish,43636,36735,80371,0.54,m
23,SHOOTINGSTAR,1,bearish,7817,7645,15462,0.51,t
24,DARKCLOUDCOVER,2,bearish,1962,1867,3829,0.51,Mm
25,ENGULFING,2,bearish,26510,24314,50824,0.52,Pn
26,HARAMI,2,bearish,19095,19552,38647,0.49,MP
27,ONNECK,2,bearish,1308,1271,2579,0.51,mH
28,COUNTERATTACK,2,bearish,93,92,185,0.5,Lb
29,2CROWS,2,bearish,104,96,200,0.52,hn
30,BELTHOLD,2,bearish,90549,81322,171871,0.53,Ll
31,EVENINGSTAR,3,bearish,2810,2477,5287,0.53,MNm
32,EVENINGDOJISTAR,3,bearish,1040,918,1958,0.53,Mjb
33,3BLACKCROWS,3,bearish,343,321,664,0.52,ssm
34,3INSIDE,3,bearish,3511,3183,6694,0.52,MPs
35,3OUTSIDE,3,bearish,12384,11185,23569,0.53,SsP
36,ADVANCEBLOCK,3,bearish,6152,6885,13037,0.47,MSN
37,TASUKIGAP,3,bearish,549,551,1100,0.5,PPN
38,HIKKAKE,3,bearish,29519,30740,60259,0.49,mSP
39,3LINESTRIKE,4,bearish,620,694,1314,0.47,slHM
40,RISEFALL3METHODS,5,bearish,132,83,215,0.61,bNNSl
41,BREAKAWAY,5,bearish,14,16,30,0.47,BMBNm
