,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
4,BBN,559,675,0.55,1234,0.5,244,0.56,242,0.53,263,0.52,155,0.54,232,0.5308098591549296,1136
24,BKN,42,55,0.5700000000000001,97,0.53,32,0.65,20,0.71,7,0.5700000000000001,7,0.78,9,0.6133333333333333,75
32,BLL,32,46,0.5900000000000001,78,0.65,23,0.52,21,0.61,31,0.63,27,0.56,25,0.5984251968503937,127
33,BLM,110,125,0.53,235,0.5,56,0.62,60,0.52,61,0.6,58,0.6,60,0.5694915254237288,295
39,BLn,177,200,0.53,377,0.5800000000000001,79,0.5900000000000001,98,0.51,112,0.54,95,0.54,98,0.549792531120332,482
45,BMM,410,546,0.5700000000000001,956,0.5,169,0.5800000000000001,189,0.55,164,0.54,163,0.54,185,0.5413793103448276,870
60,BNN,640,695,0.52,1335,0.55,295,0.53,289,0.52,305,0.5,206,0.52,283,0.5275761973875182,1378
68,BPB,507,587,0.54,1094,0.52,243,0.52,257,0.52,313,0.51,169,0.54,185,0.5209940017137961,1167
70,BPL,180,223,0.55,403,0.5800000000000001,116,0.53,91,0.5700000000000001,161,0.52,89,0.5900000000000001,119,0.5590277777777778,576
71,BPM,517,646,0.56,1163,0.5700000000000001,269,0.52,245,0.54,279,0.6,267,0.54,258,0.5553869499241275,1318
80,BSL,70,77,0.52,147,0.5800000000000001,38,0.52,33,0.5,48,0.54,37,0.61,33,0.544973544973545,189
81,BSM,290,367,0.56,657,0.51,130,0.52,139,0.5800000000000001,110,0.5800000000000001,86,0.5,98,0.5346358792184724,563
92,BbM,418,573,0.5800000000000001,991,0.5900000000000001,189,0.5800000000000001,192,0.54,210,0.54,240,0.5800000000000001,232,0.5644402634054563,1063
98,BhP,59,75,0.56,134,0.6,15,0.5,34,0.55,38,0.5,46,0.5800000000000001,31,0.5365853658536586,164
106,BjM,101,125,0.55,226,0.5800000000000001,33,0.5900000000000001,58,0.55,74,0.6,67,0.52,62,0.564625850340136,294
109,Bjh,25,25,0.5,50,0.6,5,0.6699999999999999,9,0.5,16,0.62,13,0.76,17,0.6333333333333333,60
114,BlL,47,59,0.56,106,0.55,22,0.52,33,0.54,35,0.69,39,0.54,37,0.572289156626506,166
119,Bls,109,111,0.5,220,0.56,39,0.5,50,0.5900000000000001,63,0.5,38,0.53,51,0.5394190871369294,241
133,BnK,48,59,0.55,107,0.7,23,0.6599999999999999,35,0.65,17,0.63,30,0.52,21,0.6349206349206349,126
134,BnM,643,724,0.53,1367,0.56,269,0.53,276,0.55,250,0.51,263,0.5,273,0.5289256198347108,1331
137,BnS,526,583,0.53,1109,0.5,193,0.55,192,0.52,220,0.5800000000000001,173,0.51,203,0.5300713557594292,981
138,Bnh,44,59,0.5700000000000001,103,0.75,8,0.56,16,0.62,13,0.5800000000000001,12,0.63,19,0.6176470588235294,68
141,BsB,187,214,0.53,401,0.53,77,0.64,78,0.5,84,0.52,44,0.53,59,0.5467836257309941,342
152,BtB,76,84,0.52,160,0.6699999999999999,6,0.53,36,0.71,31,0.5700000000000001,23,0.5700000000000001,28,0.5967741935483871,124
178,DDm,29,39,0.5700000000000001,68,0.54,71,0.53,43,0.6699999999999999,3,1.0,1,0.5,2,0.5416666666666666,120
181,DHH,15,22,0.5900000000000001,37,0.5,6,0.5800000000000001,12,0.5700000000000001,7,0.5,2,1.0,4,0.6129032258064516,31
194,DLM,28,38,0.5800000000000001,66,0.6799999999999999,25,0.61,23,0.64,11,0.8,5,0.6699999999999999,6,0.6571428571428571,70
215,DNP,89,121,0.5800000000000001,210,0.53,53,0.6,63,0.51,41,0.5,22,0.52,31,0.5428571428571428,210
223,DPM,102,131,0.56,233,0.61,74,0.63,76,0.52,33,0.62,26,0.5800000000000001,33,0.5991735537190083,242
236,DbH,18,18,0.5,36,0.5,14,0.5,6,0.5,6,0.6699999999999999,3,0.6699999999999999,3,0.53125,32
251,DnB,49,54,0.52,103,0.62,50,0.6699999999999999,24,0.5700000000000001,14,0.54,13,0.71,7,0.6203703703703703,108
254,DnM,76,106,0.5800000000000001,182,0.52,71,0.54,50,0.52,25,0.6699999999999999,6,0.6699999999999999,27,0.553072625698324,179
265,DsM,90,113,0.56,203,0.56,55,0.5800000000000001,45,0.71,17,0.77,13,0.56,18,0.6013513513513513,148
267,Dsl,26,27,0.51,53,0.73,15,0.5,8,0.5800000000000001,12,0.6699999999999999,6,0.69,13,0.6481481481481481,54
276,HBM,153,204,0.5700000000000001,357,0.6599999999999999,56,0.51,77,0.5900000000000001,51,0.64,55,0.5700000000000001,67,0.5849673202614379,306
280,HBh,20,21,0.51,41,0.6699999999999999,3,0.5,12,0.5700000000000001,7,0.6,10,0.8,10,0.6190476190476191,42
309,HLP,78,80,0.51,158,0.61,28,0.53,32,0.5900000000000001,41,0.51,35,0.52,42,0.550561797752809,178
322,HMP,238,237,0.5,475,0.5,119,0.56,93,0.53,95,0.52,121,0.51,123,0.5226860254083484,551
343,HPN,265,290,0.52,555,0.51,105,0.51,127,0.52,128,0.5,131,0.56,153,0.5232919254658385,644
351,HSM,285,308,0.52,593,0.64,86,0.5800000000000001,85,0.51,80,0.5,58,0.5800000000000001,79,0.5670103092783505,388
