candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,51,41,92,0.55
BBBD,4,6,10,0.4
BBBK,0,1,1,0.0
BBBL,13,5,18,0.72
BBBM,32,26,58,0.55
BBBN,38,44,82,0.46
BBBP,39,42,81,0.48
BBBS,11,13,24,0.46
BBBT,3,4,7,0.43
BBBb,50,30,80,0.62
BBBh,3,1,4,0.75
BBBj,8,9,17,0.47
BBBl,8,12,20,0.4
BBBm,42,24,66,0.64
BBBn,43,48,91,0.47
BBBs,16,8,24,0.67
BBDB,3,1,4,0.75
BBDD,3,0,3,1.0
BBDH,2,5,7,0.29
BBDI,0,1,1,0.0
BBDL,5,2,7,0.71
BBDM,0,3,3,0.0
BBDN,0,3,3,0.0
BBDP,5,5,10,0.5
BBDS,0,1,1,0.0
BBDT,2,0,2,1.0
BBDb,2,3,5,0.4
BBDl,1,0,1,1.0
BBDm,3,1,4,0.75
BBDn,1,2,3,0.33
BBDs,3,3,6,0.5
BBHM,1,0,1,1.0
BBHN,0,2,2,0.0
BBHP,0,1,1,0.0
BBHh,1,0,1,1.0
BBKB,1,0,1,1.0
BBKD,0,1,1,0.0
BBKH,1,0,1,1.0
BBKI,1,0,1,1.0
BBKM,3,1,4,0.75
BBKN,2,0,2,1.0
BBKP,3,1,4,0.75
BBKS,0,2,2,0.0
BBKb,3,0,3,1.0
BBKh,0,3,3,0.0
BBKl,1,0,1,1.0
BBKm,3,2,5,0.6
BBKn,2,0,2,1.0
BBKs,3,0,3,1.0
BBLB,8,10,18,0.44
BBLD,0,1,1,0.0
BBLL,1,3,4,0.25
BBLM,7,9,16,0.44
BBLN,3,9,12,0.25
BBLP,14,17,31,0.45
BBLS,3,3,6,0.5
BBLT,0,2,2,0.0
BBLb,10,12,22,0.45
BBLh,4,4,8,0.5
BBLj,6,7,13,0.46
BBLl,5,1,6,0.83
BBLm,9,10,19,0.47
BBLn,10,14,24,0.42
BBLs,4,3,7,0.57
BBMB,16,24,40,0.4
BBMD,0,1,1,0.0
BBMI,0,0,0,
BBML,9,5,14,0.64
BBMM,19,32,51,0.37
BBMN,24,27,51,0.47
BBMP,22,36,58,0.38
BBMS,8,12,20,0.4
BBMT,3,0,3,1.0
BBMb,25,22,47,0.53
BBMh,18,16,34,0.53
BBMj,9,6,15,0.6
BBMl,6,8,14,0.43
BBMm,34,18,52,0.65
BBMn,45,31,76,0.59
BBMs,10,5,15,0.67
BBNB,21,24,45,0.47
BBND,4,1,5,0.8
BBNH,5,4,9,0.56
BBNI,0,1,1,0.0
BBNK,1,2,3,0.33
BBNL,14,8,22,0.64
BBNM,22,33,55,0.4
BBNN,36,38,74,0.49
BBNP,51,60,111,0.46
BBNS,16,12,28,0.57
BBNT,6,6,12,0.5
BBNb,28,20,48,0.58
BBNh,11,17,28,0.39
BBNl,12,16,28,0.43
BBNm,27,35,62,0.44
BBNn,34,62,96,0.35
BBNs,25,13,38,0.66
BBPB,46,35,81,0.57
BBPD,1,4,5,0.2
BBPH,8,14,22,0.36
BBPI,3,2,5,0.6
BBPK,2,4,6,0.33
BBPL,14,16,30,0.47
BBPM,35,44,79,0.44
BBPN,43,43,86,0.5
BBPP,65,71,136,0.48
BBPS,23,33,56,0.41
BBPT,4,1,5,0.8
BBPb,36,43,79,0.46
BBPh,3,3,6,0.5
BBPl,19,23,42,0.45
BBPm,38,29,67,0.57
BBPn,27,42,69,0.39
BBPs,21,16,37,0.57
BBSB,7,16,23,0.3
BBSD,2,4,6,0.33
BBSH,2,5,7,0.29
BBSL,5,0,5,1.0
BBSM,10,7,17,0.59
BBSN,13,20,33,0.39
BBSP,14,18,32,0.44
BBSS,13,10,23,0.57
BBST,0,2,2,0.0
BBSb,11,14,25,0.44
BBSh,8,11,19,0.42
BBSl,8,5,13,0.62
BBSm,10,8,18,0.56
BBSn,9,15,24,0.38
BBSs,12,9,21,0.57
BBTB,4,3,7,0.57
BBTD,1,0,1,1.0
BBTH,1,0,1,1.0
BBTL,2,3,5,0.4
BBTM,2,1,3,0.67
BBTN,2,2,4,0.5
BBTP,9,5,14,0.64
BBTS,0,2,2,0.0
BBTT,1,1,2,0.5
BBTb,0,6,6,0.0
BBTl,1,0,1,1.0
BBTm,4,3,7,0.57
BBTn,5,3,8,0.62
BBTs,2,2,4,0.5
BBbB,26,29,55,0.47
BBbD,1,0,1,1.0
BBbH,16,4,20,0.8
BBbI,2,2,4,0.5
BBbJ,11,8,19,0.58
BBbK,5,0,5,1.0
BBbL,9,18,27,0.33
BBbM,32,32,64,0.5
BBbN,38,51,89,0.43
BBbP,53,49,102,0.52
BBbS,19,23,42,0.45
BBbb,33,38,71,0.46
BBbl,18,10,28,0.64
BBbm,38,23,61,0.62
BBbn,35,39,74,0.47
BBbs,10,11,21,0.48
BBhB,1,2,3,0.33
BBhH,1,0,1,1.0
BBhL,4,0,4,1.0
BBhM,1,3,4,0.25
BBhN,5,1,6,0.83
BBhP,4,6,10,0.4
BBhS,2,2,4,0.5
BBhT,1,0,1,1.0
BBhb,5,3,8,0.62
BBhh,2,2,4,0.5
BBhl,0,0,0,
BBhm,1,3,4,0.25
BBhn,4,3,7,0.57
BBhs,1,1,2,0.5
BBjB,12,13,25,0.48
BBjD,1,0,1,1.0
BBjH,3,3,6,0.5
BBjI,1,0,1,1.0
BBjK,0,0,0,
BBjL,3,7,10,0.3
BBjM,8,5,13,0.62
BBjN,11,13,24,0.46
BBjP,15,18,33,0.45
BBjS,5,9,14,0.36
BBjT,1,0,1,1.0
BBjb,9,16,25,0.36
BBjh,1,3,4,0.25
BBjl,9,6,15,0.6
BBjm,9,7,16,0.56
BBjn,14,8,22,0.64
BBjs,5,11,16,0.31
BBlB,7,11,18,0.39
BBlD,1,2,3,0.33
BBlH,6,5,11,0.55
BBlI,2,3,5,0.4
BBlJ,2,2,4,0.5
BBlL,4,2,6,0.67
BBlM,7,9,16,0.44
BBlN,9,16,25,0.36
BBlP,9,12,21,0.43
BBlS,3,8,11,0.27
BBlb,12,16,28,0.43
BBll,3,6,9,0.33
BBlm,8,11,19,0.42
BBln,13,12,25,0.52
BBls,4,10,14,0.29
BBmB,26,28,54,0.48
BBmD,6,4,10,0.6
BBmH,19,18,37,0.51
BBmI,3,2,5,0.6
BBmJ,8,8,16,0.5
BBmL,8,8,16,0.5
BBmM,23,34,57,0.4
BBmN,38,34,72,0.53
BBmP,41,28,69,0.59
BBmS,22,16,38,0.58
BBmb,32,21,53,0.6
BBml,10,5,15,0.67
BBmm,19,22,41,0.46
BBmn,35,22,57,0.61
BBms,9,12,21,0.43
BBnB,31,29,60,0.52
BBnD,2,5,7,0.29
BBnH,12,21,33,0.36
BBnI,4,2,6,0.67
BBnK,3,7,10,0.3
BBnL,14,14,28,0.5
BBnM,28,24,52,0.54
BBnN,59,56,115,0.51
BBnP,57,47,104,0.55
BBnS,25,17,42,0.6
BBnT,0,1,1,0.0
BBnb,24,32,56,0.43
