candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,65,94,159,0.41
BBBD,13,5,18,0.72
BBBH,1,5,6,0.17
BBBK,5,5,10,0.5
BBBL,12,16,28,0.43
BBBM,40,61,101,0.4
BBBN,62,71,133,0.47
BBBP,68,85,153,0.44
BBBS,23,22,45,0.51
BBBb,71,69,140,0.51
BBBh,5,6,11,0.45
BBBj,10,14,24,0.42
BBBl,17,27,44,0.39
BBBm,75,70,145,0.52
BBBn,83,109,192,0.43
BBBs,22,29,51,0.43
BBBt,9,10,19,0.47
BBDB,6,8,14,0.43
BBDD,2,2,4,0.5
BBDH,4,3,7,0.57
BBDI,2,0,2,1.0
BBDL,3,2,5,0.6
BBDM,9,14,23,0.39
BBDN,4,6,10,0.4
BBDP,4,3,7,0.57
BBDS,3,4,7,0.43
BBDb,6,3,9,0.67
BBDh,1,0,1,1.0
BBDl,1,1,2,0.5
BBDm,5,3,8,0.62
BBDn,4,5,9,0.44
BBDs,6,11,17,0.35
BBDt,0,2,2,0.0
BBHB,2,0,2,1.0
BBHD,2,0,2,1.0
BBHN,1,0,1,1.0
BBHP,2,1,3,0.67
BBHS,0,0,0,
BBHb,0,0,0,
BBHl,2,0,2,1.0
BBHm,0,0,0,
BBHs,1,2,3,0.33
BBIb,0,1,1,0.0
BBKB,3,6,9,0.33
BBKD,1,1,2,0.5
BBKH,2,2,4,0.5
BBKI,0,3,3,0.0
BBKL,1,1,2,0.5
BBKM,4,11,15,0.27
BBKN,0,6,6,0.0
BBKP,5,8,13,0.38
BBKS,1,4,5,0.2
BBKb,3,5,8,0.38
BBKh,4,6,10,0.4
BBKl,1,1,2,0.5
BBKm,10,2,12,0.83
BBKn,3,5,8,0.38
BBKs,1,2,3,0.33
BBKt,1,1,2,0.5
BBLB,15,19,34,0.44
BBLD,1,2,3,0.33
BBLH,0,1,1,0.0
BBLK,0,1,1,0.0
BBLL,0,4,4,0.0
BBLM,11,8,19,0.58
BBLN,11,14,25,0.44
BBLP,11,16,27,0.41
BBLS,6,4,10,0.6
BBLb,12,18,30,0.4
BBLh,4,7,11,0.36
BBLj,2,1,3,0.67
BBLl,5,5,10,0.5
BBLm,20,23,43,0.47
BBLn,11,13,24,0.46
BBLs,6,13,19,0.32
BBLt,1,1,2,0.5
BBMB,41,66,107,0.38
BBMD,2,1,3,0.67
BBMH,2,1,3,0.67
BBMK,0,1,1,0.0
BBML,4,11,15,0.27
BBMM,31,55,86,0.36
BBMN,33,53,86,0.38
BBMP,61,50,111,0.55
BBMS,20,19,39,0.51
BBMb,49,42,91,0.54
BBMh,26,35,61,0.43
BBMj,10,8,18,0.56
BBMl,7,27,34,0.21
BBMm,67,65,132,0.51
BBMn,58,70,128,0.45
BBMs,28,26,54,0.52
BBMt,7,6,13,0.54
BBNB,49,68,117,0.42
BBND,7,9,16,0.44
BBNH,8,10,18,0.44
BBNI,0,3,3,0.0
BBNK,3,8,11,0.27
BBNL,12,18,30,0.4
BBNM,40,60,100,0.4
BBNN,60,73,133,0.45
BBNP,58,95,153,0.38
BBNS,37,33,70,0.53
BBNb,54,49,103,0.52
BBNh,11,17,28,0.39
BBNl,16,20,36,0.44
BBNm,74,62,136,0.54
BBNn,76,87,163,0.47
BBNs,46,39,85,0.54
BBNt,6,10,16,0.38
BBPB,57,66,123,0.46
BBPD,3,3,6,0.5
BBPH,19,14,33,0.58
BBPI,9,10,19,0.47
BBPK,5,4,9,0.56
BBPL,15,17,32,0.47
BBPM,48,67,115,0.42
BBPN,59,81,140,0.42
BBPP,79,102,181,0.44
BBPS,31,51,82,0.38
BBPb,66,64,130,0.51
BBPh,4,6,10,0.4
BBPl,21,21,42,0.5
BBPm,91,64,155,0.59
BBPn,60,70,130,0.46
BBPs,31,49,80,0.39
BBPt,6,10,16,0.38
BBSB,14,30,44,0.32
BBSD,6,5,11,0.55
BBSH,7,12,19,0.37
BBSI,1,1,2,0.5
BBSK,0,1,1,0.0
BBSL,7,2,9,0.78
BBSM,14,30,44,0.32
BBSN,19,14,33,0.58
BBSP,29,31,60,0.48
BBSS,23,27,50,0.46
BBSb,16,8,24,0.67
BBSh,8,15,23,0.35
BBSl,11,7,18,0.61
BBSm,27,35,62,0.44
BBSn,18,34,52,0.35
BBSs,27,22,49,0.55
BBSt,4,4,8,0.5
BBbB,61,62,123,0.5
BBbD,5,3,8,0.62
BBbH,20,31,51,0.39
BBbI,10,6,16,0.62
BBbJ,20,16,36,0.56
BBbK,6,2,8,0.75
BBbL,11,15,26,0.42
BBbM,42,69,111,0.38
BBbN,76,99,175,0.43
BBbP,72,62,134,0.54
BBbS,32,31,63,0.51
BBbb,46,43,89,0.52
BBbl,26,13,39,0.67
BBbm,67,44,111,0.6
BBbn,59,82,141,0.42
BBbs,34,37,71,0.48
BBhB,1,8,9,0.11
BBhD,1,0,1,1.0
BBhH,1,2,3,0.33
BBhL,2,0,2,1.0
BBhM,6,2,8,0.75
BBhN,2,4,6,0.33
BBhP,3,8,11,0.27
BBhS,3,3,6,0.5
BBhb,3,5,8,0.38
BBhh,3,5,8,0.38
BBhl,1,1,2,0.5
BBhm,7,6,13,0.54
BBhn,5,7,12,0.42
BBhs,7,3,10,0.7
BBjB,15,11,26,0.58
BBjD,0,1,1,0.0
BBjH,3,6,9,0.33
BBjI,2,0,2,1.0
BBjK,0,1,1,0.0
BBjL,3,5,8,0.38
BBjM,5,15,20,0.25
BBjN,9,8,17,0.53
BBjP,18,15,33,0.55
BBjS,6,10,16,0.38
BBjb,17,10,27,0.63
BBjh,4,3,7,0.57
BBjl,3,5,8,0.38
BBjm,28,14,42,0.67
BBjn,10,13,23,0.43
BBjs,9,9,18,0.5
BBjt,2,1,3,0.67
BBlB,12,16,28,0.43
BBlD,3,2,5,0.6
BBlH,17,11,28,0.61
BBlI,1,1,2,0.5
BBlJ,4,4,8,0.5
BBlK,3,0,3,1.0
BBlL,4,3,7,0.57
BBlM,13,20,33,0.39
BBlN,15,17,32,0.47
BBlP,16,20,36,0.44
