candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,56,53,109,0.51
BBBD,7,8,15,0.47
BBBH,0,2,2,0.0
BBBK,2,6,8,0.25
BBBL,5,5,10,0.5
BBBM,20,40,60,0.33
BBBN,33,44,77,0.43
BBBP,35,54,89,0.39
BBBS,14,10,24,0.58
BBBb,41,34,75,0.55
BBBh,5,3,8,0.62
BBBj,10,5,15,0.67
BBBl,12,14,26,0.46
BBBm,49,30,79,0.62
BBBn,63,50,113,0.56
BBBs,17,20,37,0.46
BBBt,5,3,8,0.62
BBDB,4,4,8,0.5
BBDD,7,2,9,0.78
BBDH,7,6,13,0.54
BBDI,0,1,1,0.0
BBDL,5,1,6,0.83
BBDM,3,13,16,0.19
BBDN,2,4,6,0.33
BBDP,6,10,16,0.38
BBDS,2,1,3,0.67
BBDb,5,3,8,0.62
BBDh,1,0,1,1.0
BBDl,1,2,3,0.33
BBDm,9,2,11,0.82
BBDn,2,6,8,0.25
BBDs,3,6,9,0.33
BBDt,0,1,1,0.0
BBHB,1,1,2,0.5
BBHM,1,1,2,0.5
BBHN,0,1,1,0.0
BBHP,1,1,2,0.5
BBHl,1,0,1,1.0
BBHs,0,1,1,0.0
BBIb,0,1,1,0.0
BBIs,0,0,0,
BBKB,1,6,7,0.14
BBKD,0,4,4,0.0
BBKH,2,0,2,1.0
BBKI,0,1,1,0.0
BBKM,4,3,7,0.57
BBKN,1,3,4,0.25
BBKP,6,3,9,0.67
BBKS,3,3,6,0.5
BBKb,2,1,3,0.67
BBKh,4,5,9,0.44
BBKl,1,1,2,0.5
BBKm,2,3,5,0.4
BBKn,2,2,4,0.5
BBKs,3,2,5,0.6
BBKt,0,1,1,0.0
BBLB,8,10,18,0.44
BBLD,1,3,4,0.25
BBLK,0,1,1,0.0
BBLL,1,0,1,1.0
BBLM,8,10,18,0.44
BBLN,3,5,8,0.38
BBLP,9,9,18,0.5
BBLS,1,0,1,1.0
BBLb,15,5,20,0.75
BBLh,2,3,5,0.4
BBLj,4,4,8,0.5
BBLl,3,4,7,0.43
BBLm,8,12,20,0.4
BBLn,11,19,30,0.37
BBLs,5,3,8,0.62
BBLt,0,3,3,0.0
BBMB,17,36,53,0.32
BBMD,3,2,5,0.6
BBMH,1,1,2,0.5
BBMK,1,0,1,1.0
BBML,6,2,8,0.75
BBMM,17,31,48,0.35
BBMN,18,33,51,0.35
BBMP,29,33,62,0.47
BBMS,11,16,27,0.41
BBMb,32,27,59,0.54
BBMh,8,22,30,0.27
BBMj,6,7,13,0.46
BBMl,4,12,16,0.25
BBMm,44,35,79,0.56
BBMn,29,43,72,0.4
BBMs,16,12,28,0.57
BBMt,2,2,4,0.5
BBNB,37,33,70,0.53
BBND,4,6,10,0.4
BBNH,5,7,12,0.42
BBNI,0,3,3,0.0
BBNK,3,1,4,0.75
BBNL,6,7,13,0.46
BBNM,27,39,66,0.41
BBNN,42,51,93,0.45
BBNP,32,57,89,0.36
BBNS,13,14,27,0.48
BBNb,31,27,58,0.53
BBNh,11,16,27,0.41
BBNl,7,11,18,0.39
BBNm,43,48,91,0.47
BBNn,42,53,95,0.44
BBNs,21,14,35,0.6
BBNt,6,3,9,0.67
BBPB,33,38,71,0.46
BBPD,6,5,11,0.55
BBPH,12,11,23,0.52
BBPI,6,3,9,0.67
BBPK,2,7,9,0.22
BBPL,18,11,29,0.62
BBPM,32,36,68,0.47
BBPN,44,51,95,0.46
BBPP,60,65,125,0.48
BBPS,22,29,51,0.43
BBPb,29,30,59,0.49
BBPh,6,8,14,0.43
BBPl,14,20,34,0.41
BBPm,45,49,94,0.48
BBPn,49,42,91,0.54
BBPs,11,25,36,0.31
BBPt,5,2,7,0.71
BBSB,5,24,29,0.17
BBSD,4,4,8,0.5
BBSH,3,3,6,0.5
BBSL,6,1,7,0.86
BBSM,17,15,32,0.53
BBSN,21,20,41,0.51
BBSP,16,19,35,0.46
BBSS,11,13,24,0.46
BBSb,11,9,20,0.55
BBSh,7,1,8,0.88
BBSl,4,4,8,0.5
BBSm,13,16,29,0.45
BBSn,12,13,25,0.48
BBSs,16,8,24,0.67
BBSt,2,2,4,0.5
BBbB,42,27,69,0.61
BBbD,5,3,8,0.62
BBbH,12,7,19,0.63
BBbI,2,2,4,0.5
BBbJ,9,7,16,0.56
BBbK,4,2,6,0.67
BBbL,6,8,14,0.43
BBbM,29,31,60,0.48
BBbN,35,48,83,0.42
BBbP,47,53,100,0.47
BBbS,21,14,35,0.6
BBbb,19,27,46,0.41
BBbl,9,13,22,0.41
BBbm,40,23,63,0.63
BBbn,30,30,60,0.5
BBbs,13,11,24,0.54
BBhB,2,4,6,0.33
BBhD,1,0,1,1.0
BBhL,1,1,2,0.5
BBhM,2,3,5,0.4
BBhN,3,0,3,1.0
BBhP,3,8,11,0.27
BBhS,2,0,2,1.0
BBhb,2,3,5,0.4
BBhh,3,4,7,0.43
BBhl,1,0,1,1.0
BBhm,2,1,3,0.67
BBhn,4,4,8,0.5
BBhs,1,0,1,1.0
BBht,1,0,1,1.0
BBjB,9,9,18,0.5
BBjD,0,1,1,0.0
BBjH,0,1,1,0.0
BBjI,1,0,1,1.0
BBjK,0,0,0,
BBjL,0,5,5,0.0
BBjM,3,1,4,0.75
BBjN,8,4,12,0.67
BBjP,6,12,18,0.33
BBjS,2,7,9,0.22
BBjb,8,7,15,0.53
BBjh,0,2,2,0.0
BBjl,0,1,1,0.0
BBjm,6,6,12,0.5
BBjn,8,6,14,0.57
BBjs,5,7,12,0.42
BBjt,3,1,4,0.75
BBlB,9,10,19,0.47
BBlD,0,2,2,0.0
BBlH,12,3,15,0.8
BBlI,0,2,2,0.0
BBlJ,2,3,5,0.4
BBlK,1,0,1,1.0
BBlL,4,3,7,0.57
BBlM,3,8,11,0.27
BBlN,7,11,18,0.39
BBlP,3,10,13,0.23
BBlS,4,11,15,0.27
BBlb,8,8,16,0.5
BBll,5,1,6,0.83
BBlm,14,11,25,0.56
BBln,11,9,20,0.55
BBls,2,8,10,0.2
BBmB,33,36,69,0.48
BBmD,12,9,21,0.57
BBmH,28,28,56,0.5
BBmI,6,2,8,0.75
BBmJ,5,6,11,0.45
BBmK,1,0,1,1.0
BBmL,9,9,18,0.5
BBmM,28,49,77,0.36
BBmN,47,43,90,0.52
BBmP,41,36,77,0.53
BBmS,17,23,40,0.42
BBmb,29,14,43,0.67
BBml,8,5,13,0.62
BBmm,42,40,82,0.51
BBmn,41,25,66,0.62
BBms,20,27,47,0.43
BBnB,38,39,77,0.49
BBnD,3,8,11,0.27
BBnH,16,23,39,0.41
BBnI,5,5,10,0.5
BBnK,4,5,9,0.44
BBnL,10,14,24,0.42
BBnM,29,41,70,0.41
BBnN,61,58,119,0.51
BBnP,52,46,98,0.53
BBnS,28,22,50,0.56
BBnb,31,28,59,0.53
BBnh,4,6,10,0.4
BBnl,13,14,27,0.48
BBnm,48,35,83,0.58
BBnn,48,49,97,0.49
BBns,31,25,56,0.55
BBnt,1,1,2,0.5
BBsB,9,16,25,0.36
BBsD,2,0,2,1.0
BBsH,18,13,31,0.58
BBsI,5,2,7,0.71
BBsK,0,1,1,0.0
BBsL,4,4,8,0.5
BBsM,9,17,26,0.35
BBsN,10,13,23,0.43
BBsP,19,17,36,0.53
BBsS,11,12,23,0.48
BBsb,6,4,10,0.6
BBsh,1,0,1,1.0
BBsl,5,5,10,0.5
BBsm,15,15,30,0.5
BBsn,18,10,28,0.64
BBss,10,8,18,0.56
BBtB,7,5,12,0.58
BBtH,1,0,1,1.0
BBtI,0,0,0,
BBtL,1,1,2,0.5
BBtM,3,6,9,0.33
BBtN,6,4,10,0.6
BBtP,4,4,8,0.5
BBtS,5,1,6,0.83
BBtb,2,7,9,0.22
BBtl,0,1,1,0.0
BBtm,7,4,11,0.64
BBtn,5,4,9,0.56
BBts,3,3,6,0.5
BBtt,2,1,3,0.67
BDBB,8,9,17,0.47
BDBD,2,1,3,0.67
BDBK,1,2,3,0.33
BDBL,0,3,3,0.0
BDBM,2,9,11,0.18
BDBN,3,1,4,0.75
BDBP,7,14,21,0.33
BDBS,1,2,3,0.33
BDBb,5,5,10,0.5
BDBh,0,2,2,0.0
BDBj,1,0,1,1.0
BDBl,3,0,3,1.0
BDBm,5,6,11,0.45
BDBn,6,7,13,0.46
BDBs,3,1,4,0.75
BDDB,4,4,8,0.5
BDDD,1,1,2,0.5
BDDH,0,6,6,0.0
BDDL,0,1,1,0.0
BDDM,4,4,8,0.5
BDDN,3,2,5,0.6
BDDP,4,3,7,0.57
BDDS,2,2,4,0.5
BDDb,3,0,3,1.0
BDDh,0,1,1,0.0
BDDm,6,2,8,0.75
BDDn,1,1,2,0.5
BDDs,2,0,2,1.0
BDDt,1,0,1,1.0
BDHB,7,3,10,0.7
BDHD,3,4,7,0.43
BDHH,1,1,2,0.5
BDHI,1,1,2,0.5
BDHK,1,0,1,1.0
BDHL,3,2,5,0.6
BDHM,6,2,8,0.75
BDHN,8,4,12,0.67
BDHP,9,7,16,0.56
BDHS,7,3,10,0.7
BDHb,3,7,10,0.3
BDHh,5,2,7,0.71
BDHl,0,0,0,
BDHm,8,7,15,0.53
BDHn,5,6,11,0.45
BDHs,3,4,7,0.43
BDIB,0,0,0,
BDID,0,1,1,0.0
BDIH,0,0,0,
BDIL,2,0,2,1.0
BDIM,1,1,2,0.5
BDIN,1,2,3,0.33
BDIP,0,1,1,0.0
BDIb,0,1,1,0.0
BDIm,0,1,1,0.0
BDIn,0,2,2,0.0
BDIs,1,1,2,0.5
BDKM,1,0,1,1.0
BDKb,0,1,1,0.0
BDLB,0,5,5,0.0
BDLD,1,0,1,1.0
BDLH,1,0,1,1.0
BDLL,0,1,1,0.0
BDLM,2,3,5,0.4
BDLN,3,3,6,0.5
BDLP,4,2,6,0.67
BDLS,3,2,5,0.6
BDLb,1,1,2,0.5
BDLh,2,1,3,0.67
BDLj,1,0,1,1.0
BDLl,0,1,1,0.0
BDLm,2,3,5,0.4
BDLn,2,4,6,0.33
BDLs,1,3,4,0.25
BDMB,7,9,16,0.44
BDMD,4,3,7,0.57
BDML,0,2,2,0.0
BDMM,7,6,13,0.54
BDMN,7,3,10,0.7
BDMP,11,10,21,0.52
BDMS,1,4,5,0.2
BDMb,6,6,12,0.5
BDMh,3,7,10,0.3
BDMj,2,0,2,1.0
BDMl,1,0,1,1.0
BDMm,19,9,28,0.68
BDMn,5,7,12,0.42
BDMs,3,2,5,0.6
BDMt,1,1,2,0.5
BDNB,4,5,9,0.44
BDND,2,2,4,0.5
BDNH,4,1,5,0.8
BDNI,0,1,1,0.0
BDNK,1,1,2,0.5
BDNL,0,3,3,0.0
BDNM,6,9,15,0.4
BDNN,6,4,10,0.6
BDNP,5,4,9,0.56
BDNS,1,2,3,0.33
BDNb,6,7,13,0.46
BDNh,1,1,2,0.5
BDNl,1,0,1,1.0
BDNm,12,4,16,0.75
BDNn,4,3,7,0.57
BDNs,3,2,5,0.6
BDNt,0,1,1,0.0
BDPB,6,9,15,0.4
BDPD,3,0,3,1.0
BDPH,2,2,4,0.5
BDPI,3,0,3,1.0
BDPK,0,1,1,0.0
BDPL,3,2,5,0.6
BDPM,6,8,14,0.43
BDPN,3,5,8,0.38
BDPP,9,9,18,0.5
BDPS,9,9,18,0.5
BDPb,5,5,10,0.5
BDPh,2,1,3,0.67
BDPl,3,4,7,0.43
BDPm,9,6,15,0.6
BDPn,8,6,14,0.57
BDPs,4,5,9,0.44
BDPt,1,1,2,0.5
BDSB,8,6,14,0.57
BDSD,2,0,2,1.0
BDSH,2,2,4,0.5
BDSL,1,2,3,0.33
BDSM,1,6,7,0.14
BDSN,3,3,6,0.5
BDSP,10,6,16,0.62
BDSS,5,3,8,0.62
BDSb,4,4,8,0.5
BDSh,2,0,2,1.0
BDSl,1,1,2,0.5
BDSm,7,7,14,0.5
BDSn,9,3,12,0.75
BDSs,3,5,8,0.38
BDSt,0,0,0,
BDbB,5,5,10,0.5
BDbD,0,0,0,
BDbI,1,0,1,1.0
BDbJ,2,1,3,0.67
BDbK,1,3,4,0.25
BDbL,2,2,4,0.5
BDbM,5,3,8,0.62
BDbN,5,1,6,0.83
BDbP,5,6,11,0.45
BDbS,3,3,6,0.5
BDbb,3,0,3,1.0
BDbl,0,1,1,0.0
BDbm,12,8,20,0.6
BDbn,2,6,8,0.25
BDbs,4,2,6,0.67
BDhL,1,0,1,1.0
BDhP,0,0,0,
BDhS,1,0,1,1.0
BDhh,0,0,0,
BDhl,1,0,1,1.0
BDhm,1,1,2,0.5
BDlB,2,0,2,1.0
BDlD,0,1,1,0.0
BDlH,0,1,1,0.0
BDlI,0,0,0,
BDlJ,1,0,1,1.0
BDlM,2,0,2,1.0
BDlN,4,3,7,0.57
BDlP,1,3,4,0.25
BDlS,1,2,3,0.33
BDlb,0,1,1,0.0
BDlm,2,4,6,0.33
BDln,3,0,3,1.0
BDls,0,3,3,0.0
BDmB,10,7,17,0.59
BDmD,5,2,7,0.71
BDmH,8,8,16,0.5
BDmJ,1,2,3,0.33
BDmL,2,2,4,0.5
BDmM,8,7,15,0.53
BDmN,9,6,15,0.6
BDmP,13,12,25,0.52
BDmS,8,13,21,0.38
BDmb,3,6,9,0.33
BDmh,1,0,1,1.0
BDml,2,2,4,0.5
BDmm,16,8,24,0.67
BDmn,5,5,10,0.5
BDms,6,6,12,0.5
BDmt,0,0,0,
BDnB,4,4,8,0.5
BDnD,6,1,7,0.86
BDnH,2,6,8,0.25
BDnK,1,0,1,1.0
BDnL,1,2,3,0.33
BDnM,6,4,10,0.6
BDnN,7,4,11,0.64
BDnP,8,8,16,0.5
BDnS,2,4,6,0.33
BDnb,6,5,11,0.55
BDnl,0,2,2,0.0
BDnm,8,3,11,0.73
BDnn,6,8,14,0.43
BDns,2,3,5,0.4
BDsB,2,6,8,0.25
