,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,5326,5343,10669,0.5,H
1,MARUBOZU,1,bullish,6669,7135,13804,0.48,M
2,INVERTEDHAMMER,1,bullish,1179,1012,2191,0.54,I
3,PIERCING,2,bullish,193,216,409,0.47,lM
4,ENGULFING,2,bullish,6007,6145,12152,0.49,nM
5,HARAMI,2,bullish,5788,5663,11451,0.51,bN
6,COUNTERATTACK,2,bullish,1,2,3,0.33,bL
7,BELTHOLD,2,bullish,15522,16168,31690,0.49,NL
8,MORNINGSTAR,3,bullish,613,661,1274,0.48,bnB
9,3WHITESOLDIERS,3,bullish,345,396,741,0.47,MSM
10,3INSIDE,3,bullish,1104,1077,2181,0.51,bNN
11,3OUTSIDE,3,bullish,2896,3057,5953,0.49,mMS
12,TASUKIGAP,3,bullish,81,86,167,0.49,SSs
13,HIKKAKE,3,bullish,7278,6860,14138,0.51,bnP
14,3LINESTRIKE,4,bullish,386,308,694,0.56,PSBb
15,RISEFALL3METHODS,5,bullish,29,34,63,0.46,BnnHM
16,BREAKAWAY,5,bullish,1,3,4,0.25,bnPnM
17,LADDERBOTTOM,5,bullish,39,40,79,0.49,mlsPS
18,MATHOLD,5,bullish,3,0,3,1.0,BsHNM
19,HANGINGMAN,1,bearish,3578,3787,7365,0.49,h
20,MARUBOZU,1,bearish,5961,5177,11138,0.54,m
21,SHOOTINGSTAR,1,bearish,1704,1695,3399,0.5,t
22,DARKCLOUDCOVER,2,bearish,572,531,1103,0.52,Mb
23,ENGULFING,2,bearish,9638,9279,18917,0.51,Pb
24,HARAMI,2,bearish,3665,3846,7511,0.49,Mn
25,ONNECK,2,bearish,129,110,239,0.54,mN
26,2CROWS,2,bearish,18,20,38,0.47,hs
27,BELTHOLD,2,bearish,18358,17411,35769,0.51,Pb
28,EVENINGSTAR,3,bearish,949,859,1808,0.52,Mhl
29,EVENINGDOJISTAR,3,bearish,336,252,588,0.57,MSm
30,3BLACKCROWS,3,bearish,64,67,131,0.49,msm
31,3INSIDE,3,bearish,759,689,1448,0.52,BPb
32,3OUTSIDE,3,bearish,4671,4485,9156,0.51,Pbn
33,ADVANCEBLOCK,3,bearish,2020,2184,4204,0.48,MSP
34,TASUKIGAP,3,bearish,87,79,166,0.52,HbB
35,HIKKAKE,3,bearish,7177,7371,14548,0.49,PPN
36,3LINESTRIKE,4,bearish,241,212,453,0.53,nPPM
37,RISEFALL3METHODS,5,bearish,30,31,61,0.49,bNNPm
38,BREAKAWAY,5,bearish,7,1,8,0.88,LhNNm
