candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,10,6,16,0.62
BBBD,1,0,1,1.0
BBBL,4,0,4,1.0
BBBM,9,7,16,0.56
BBBN,10,8,18,0.56
BBBP,11,8,19,0.58
BBBS,1,1,2,0.5
BBBb,8,8,16,0.5
BBBh,1,0,1,1.0
BBBj,1,0,1,1.0
BBBl,4,1,5,0.8
BBBm,6,3,9,0.67
BBBn,10,9,19,0.53
BBBs,3,1,4,0.75
BBBt,0,3,3,0.0
BBDP,2,0,2,1.0
BBDb,1,0,1,1.0
BBDt,2,0,2,1.0
BBHN,0,1,1,0.0
BBKM,0,1,1,0.0
BBKN,1,0,1,1.0
BBLB,1,5,6,0.17
BBLL,0,2,2,0.0
BBLM,1,2,3,0.33
BBLP,5,4,9,0.56
BBLS,1,0,1,1.0
BBLb,2,6,8,0.25
BBLh,1,0,1,1.0
BBLj,0,2,2,0.0
BBLm,4,1,5,0.8
BBLn,4,3,7,0.57
BBLs,0,1,1,0.0
BBLt,0,0,0,
BBMB,5,6,11,0.45
BBML,4,2,6,0.67
BBMM,3,11,14,0.21
BBMN,6,9,15,0.4
BBMP,11,12,23,0.48
BBMS,2,2,4,0.5
BBMb,6,6,12,0.5
BBMh,6,4,10,0.6
BBMj,2,1,3,0.67
BBMm,6,1,7,0.86
BBMn,11,8,19,0.58
BBMs,2,2,4,0.5
BBMt,2,0,2,1.0
BBNB,6,5,11,0.55
BBNH,1,2,3,0.33
BBNK,0,1,1,0.0
BBNL,6,3,9,0.67
BBNM,7,5,12,0.58
BBNN,12,8,20,0.6
BBNP,21,16,37,0.57
BBNS,1,1,2,0.5
BBNb,7,4,11,0.64
BBNh,5,6,11,0.45
BBNl,3,5,8,0.38
BBNm,5,5,10,0.5
BBNn,8,12,20,0.4
BBNs,4,3,7,0.57
BBNt,1,0,1,1.0
BBPB,9,8,17,0.53
BBPD,0,1,1,0.0
BBPH,0,3,3,0.0
BBPK,1,1,2,0.5
BBPL,4,5,9,0.44
BBPM,11,10,21,0.52
BBPN,11,8,19,0.58
BBPP,11,15,26,0.42
BBPS,3,4,7,0.43
BBPb,6,14,20,0.3
BBPl,4,5,9,0.44
BBPm,7,8,15,0.47
BBPn,4,10,14,0.29
BBPs,7,6,13,0.54
BBPt,1,0,1,1.0
BBSB,1,2,3,0.33
BBSD,0,1,1,0.0
BBSM,2,1,3,0.67
BBSN,3,3,6,0.5
BBSP,2,3,5,0.4
BBSS,3,2,5,0.6
BBSb,3,1,4,0.75
BBSh,3,6,9,0.33
BBSl,1,0,1,1.0
BBSm,3,0,3,1.0
BBSn,1,8,9,0.11
BBSs,2,2,4,0.5
BBbB,4,9,13,0.31
BBbH,6,0,6,1.0
BBbI,1,1,2,0.5
BBbJ,4,1,5,0.8
BBbK,1,0,1,1.0
BBbL,3,7,10,0.3
