candlestick_code3,label_increase,label_decrease,occurrence,percentage
BBB,120,135,255,0.47
BBD,26,22,48,0.54
BBH,4,0,4,1.0
BBI,0,1,1,0.0
BBK,14,14,28,0.5
BBL,29,39,68,0.43
BBM,80,123,203,0.39
BBN,123,121,244,0.5
BBP,144,156,300,0.48
BBS,45,41,86,0.52
BBb,98,116,214,0.46
BBh,6,8,14,0.43
BBj,12,12,24,0.5
BBl,33,33,66,0.5
BBm,132,120,252,0.52
BBn,166,135,301,0.55
BBs,36,49,85,0.42
BBt,7,8,15,0.47
BDB,20,16,36,0.56
BDD,18,11,29,0.62
BDH,23,25,48,0.48
BDI,1,0,1,1.0
BDL,11,9,20,0.55
BDM,30,30,60,0.5
BDN,18,30,48,0.38
BDP,26,27,53,0.49
BDS,21,21,42,0.5
BDb,20,20,40,0.5
BDh,0,2,2,0.0
BDl,11,7,18,0.61
BDm,39,32,71,0.55
BDn,15,26,41,0.37
BDs,19,20,39,0.49
BDt,1,4,5,0.2
BHB,2,2,4,0.5
BHH,0,0,0,
BHM,1,2,3,0.33
BHN,0,0,0,
BHP,2,1,3,0.67
BHS,1,0,1,1.0
BHb,1,0,1,1.0
BHl,1,0,1,1.0
BHm,1,1,2,0.5
BHn,1,0,1,1.0
BHs,3,1,4,0.75
BIB,1,0,1,1.0
BIm,1,0,1,1.0
BIs,0,0,0,
BKB,10,10,20,0.5
BKD,2,4,6,0.33
BKH,1,1,2,0.5
BKI,0,2,2,0.0
BKL,7,6,13,0.54
BKM,15,20,35,0.43
BKN,15,17,32,0.47
BKP,24,23,47,0.51
BKS,6,11,17,0.35
BKb,12,8,20,0.6
BKh,10,12,22,0.45
BKl,3,5,8,0.38
BKm,16,21,37,0.43
BKn,14,13,27,0.52
BKs,7,8,15,0.47
BKt,1,0,1,1.0
BLB,29,35,64,0.45
BLD,5,7,12,0.42
BLH,0,1,1,0.0
BLK,1,3,4,0.25
BLL,8,15,23,0.35
BLM,28,28,56,0.5
BLN,25,36,61,0.41
BLP,53,36,89,0.6
BLS,18,17,35,0.51
BLb,37,34,71,0.52
BLh,10,11,21,0.48
BLj,7,8,15,0.47
BLl,11,17,28,0.39
BLm,44,53,97,0.45
BLn,33,46,79,0.42
BLs,24,18,42,0.57
BLt,3,5,8,0.38
BMB,79,111,190,0.42
BMD,27,20,47,0.57
BMH,0,2,2,0.0
BMK,1,3,4,0.25
BML,22,18,40,0.55
BMM,85,84,169,0.5
BMN,100,94,194,0.52
BMP,121,131,252,0.48
BMS,37,53,90,0.41
BMb,104,104,208,0.5
BMh,87,74,161,0.54
BMj,7,18,25,0.28
BMl,23,25,48,0.48
BMm,146,124,270,0.54
BMn,129,140,269,0.48
BMs,54,58,112,0.48
BMt,10,4,14,0.71
BNB,100,115,215,0.47
BND,38,30,68,0.56
BNH,15,13,28,0.54
BNI,2,3,5,0.4
BNK,10,14,24,0.42
BNL,28,40,68,0.41
BNM,88,134,222,0.4
BNN,134,161,295,0.45
BNP,178,169,347,0.51
BNS,58,91,149,0.39
BNb,80,99,179,0.45
BNh,44,35,79,0.56
BNl,31,27,58,0.53
BNm,145,163,308,0.47
BNn,185,151,336,0.55
BNs,74,69,143,0.52
BNt,10,11,21,0.48
BPB,116,127,243,0.48
BPD,28,31,59,0.47
BPH,33,33,66,0.5
BPI,7,17,24,0.29
BPK,17,15,32,0.53
BPL,49,67,116,0.42
BPM,116,153,269,0.43
BPN,157,170,327,0.48
BPP,203,214,417,0.49
BPS,81,98,179,0.45
BPb,115,106,221,0.52
BPh,16,20,36,0.44
BPl,53,54,107,0.5
BPm,169,186,355,0.48
BPn,152,134,286,0.53
BPs,80,90,170,0.47
BPt,5,7,12,0.42
BSB,36,57,93,0.39
BSD,10,14,24,0.42
BSH,15,21,36,0.42
BSI,3,1,4,0.75
BSK,1,2,3,0.33
BSL,16,22,38,0.42
BSM,64,66,130,0.49
BSN,66,66,132,0.5
BSP,64,61,125,0.51
BSS,50,59,109,0.46
BSb,53,45,98,0.54
BSh,27,24,51,0.53
BSl,16,23,39,0.41
BSm,68,57,125,0.54
BSn,54,56,110,0.49
BSs,52,43,95,0.55
BSt,1,4,5,0.2
BbB,110,107,217,0.51
BbD,19,15,34,0.56
BbH,26,27,53,0.49
BbI,10,8,18,0.56
BbJ,26,24,50,0.52
BbK,12,11,23,0.52
BbL,22,38,60,0.37
BbM,78,111,189,0.41
BbN,111,117,228,0.49
BbP,124,135,259,0.48
BbS,34,60,94,0.36
Bbb,81,91,172,0.47
Bbh,1,1,2,0.5
Bbl,28,35,63,0.44
Bbm,100,89,189,0.53
Bbn,104,94,198,0.53
Bbs,49,38,87,0.56
BhB,4,7,11,0.36
BhD,1,5,6,0.17
BhH,0,1,1,0.0
BhI,0,2,2,0.0
BhL,1,3,4,0.25
BhM,7,13,20,0.35
BhN,6,9,15,0.4
BhP,6,9,15,0.4
BhS,6,3,9,0.67
Bhb,9,7,16,0.56
Bhh,8,6,14,0.57
Bhl,3,4,7,0.43
Bhm,7,7,14,0.5
Bhn,19,17,36,0.53
Bhs,8,5,13,0.62
Bht,1,1,2,0.5
BjB,19,23,42,0.45
BjD,2,2,4,0.5
BjH,5,6,11,0.45
BjI,0,0,0,
BjK,0,0,0,
BjL,6,7,13,0.46
BjM,14,19,33,0.42
BjN,16,17,33,0.48
BjP,21,22,43,0.49
BjS,10,14,24,0.42
Bjb,14,12,26,0.54
Bjh,2,3,5,0.4
Bjl,5,2,7,0.71
Bjm,12,21,33,0.36
Bjn,17,19,36,0.47
Bjs,12,5,17,0.71
Bjt,2,2,4,0.5
BlB,25,31,56,0.45
BlD,7,8,15,0.47
BlH,18,20,38,0.47
BlI,6,2,8,0.75
BlJ,8,9,17,0.47
BlK,2,1,3,0.67
BlL,10,12,22,0.45
BlM,32,34,66,0.48
BlN,27,43,70,0.39
BlP,38,46,84,0.45
BlS,23,23,46,0.5
Blb,26,18,44,0.59
Blh,0,1,1,0.0
Bll,8,6,14,0.57
Blm,39,32,71,0.55
Bln,23,25,48,0.48
Bls,17,22,39,0.44
BmB,89,124,213,0.42
BmD,54,32,86,0.63
BmH,82,93,175,0.47
BmI,5,2,7,0.71
BmJ,22,21,43,0.51
BmK,1,5,6,0.17
BmL,31,28,59,0.53
BmM,113,141,254,0.44
BmN,142,160,302,0.47
BmP,155,135,290,0.53
BmS,66,86,152,0.43
Bmb,117,70,187,0.63
Bml,30,26,56,0.54
Bmm,148,126,274,0.54
Bmn,131,106,237,0.55
Bms,65,65,130,0.5
BnB,107,124,231,0.46
BnD,30,26,56,0.54
BnH,63,67,130,0.48
BnI,9,16,25,0.36
BnK,7,16,23,0.3
BnL,41,31,72,0.57
BnM,119,150,269,0.44
BnN,186,177,363,0.51
BnP,196,187,383,0.51
BnS,97,96,193,0.5
Bnb,106,94,200,0.53
Bnh,2,6,8,0.25
Bnl,47,34,81,0.58
Bnm,164,140,304,0.54
Bnn,142,166,308,0.46
Bns,94,80,174,0.54
BsB,36,41,77,0.47
BsD,11,22,33,0.33
BsH,50,51,101,0.5
BsI,11,4,15,0.73
BsK,2,1,3,0.67
BsL,13,10,23,0.57
BsM,46,54,100,0.46
BsN,69,65,134,0.51
BsP,66,66,132,0.5
BsS,50,54,104,0.48
Bsb,37,27,64,0.58
Bsh,3,1,4,0.75
Bsl,14,13,27,0.52
Bsm,70,40,110,0.64
Bsn,61,51,112,0.54
Bss,51,50,101,0.5
BtB,2,4,6,0.33
BtD,3,1,4,0.75
BtH,7,4,11,0.64
BtI,1,0,1,1.0
BtL,0,4,4,0.0
BtM,6,15,21,0.29
BtN,9,12,21,0.43
BtP,13,18,31,0.42
BtS,7,10,17,0.41
Btb,7,5,12,0.58
Btl,2,1,3,0.67
Btm,14,9,23,0.61
Btn,12,10,22,0.55
Bts,5,8,13,0.38
Btt,1,2,3,0.33
DBB,28,38,66,0.42
DBD,8,4,12,0.67
DBK,6,7,13,0.46
DBL,6,13,19,0.32
DBM,24,39,63,0.38
DBN,29,35,64,0.45
DBP,26,36,62,0.42
DBS,20,16,36,0.56
DBb,27,17,44,0.61
DBh,2,3,5,0.4
DBj,3,4,7,0.43
DBl,7,11,18,0.39
DBm,42,34,76,0.55
DBn,32,31,63,0.51
DBs,13,8,21,0.62
DBt,2,0,2,1.0
DDB,23,9,32,0.72
DDD,22,7,29,0.76
DDH,10,20,30,0.33
DDI,2,0,2,1.0
DDL,8,8,16,0.5
DDM,33,25,58,0.57
DDN,14,18,32,0.44
DDP,24,23,47,0.51
DDS,14,20,34,0.41
DDb,16,15,31,0.52
DDh,1,1,2,0.5
DDl,4,9,13,0.31
DDm,33,38,71,0.46
DDn,7,12,19,0.37
DDs,9,17,26,0.35
DDt,3,1,4,0.75
DHB,23,22,45,0.51
DHD,13,6,19,0.68
DHH,3,3,6,0.5
DHI,2,2,4,0.5
DHK,1,2,3,0.33
DHL,10,9,19,0.53
DHM,39,44,83,0.47
DHN,23,19,42,0.55
DHP,26,41,67,0.39
DHS,27,29,56,0.48
DHb,23,27,50,0.46
DHh,15,9,24,0.62
DHl,12,5,17,0.71
DHm,47,45,92,0.51
DHn,23,21,44,0.52
DHs,21,22,43,0.49
DHt,2,2,4,0.5
