candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,43,32,75,0.57
BBBD,3,2,5,0.6
BBBK,0,1,1,0.0
BBBL,12,7,19,0.63
BBBM,33,21,54,0.61
BBBN,34,39,73,0.47
BBBP,37,37,74,0.5
BBBS,5,10,15,0.33
BBBb,38,37,75,0.51
BBBh,2,1,3,0.67
BBBj,6,8,14,0.43
BBBl,8,13,21,0.38
BBBm,25,23,48,0.52
BBBn,35,40,75,0.47
BBBs,10,8,18,0.56
BBBt,3,6,9,0.33
BBDB,1,0,1,1.0
BBDH,0,2,2,0.0
BBDL,2,2,4,0.5
BBDM,0,2,2,0.0
BBDN,0,4,4,0.0
BBDP,4,2,6,0.67
BBDS,0,1,1,0.0
BBDb,1,1,2,0.5
BBDl,0,1,1,0.0
BBDm,4,1,5,0.8
BBDn,1,1,2,0.5
BBDs,1,0,1,1.0
BBDt,2,0,2,1.0
BBHL,0,1,1,0.0
BBHM,1,0,1,1.0
BBHN,0,1,1,0.0
BBHP,1,0,1,1.0
BBHh,1,0,1,1.0
BBKB,3,0,3,1.0
BBKI,2,0,2,1.0
BBKL,0,1,1,0.0
BBKM,3,1,4,0.75
BBKN,1,0,1,1.0
BBKP,0,1,1,0.0
BBKS,1,1,2,0.5
BBKb,3,0,3,1.0
BBKh,0,1,1,0.0
BBKl,0,2,2,0.0
BBKm,2,2,4,0.5
BBKn,4,1,5,0.8
BBKs,1,1,2,0.5
BBLB,10,8,18,0.56
BBLL,2,5,7,0.29
BBLM,4,9,13,0.31
BBLN,4,10,14,0.29
BBLP,15,15,30,0.5
BBLS,3,4,7,0.43
BBLb,8,13,21,0.38
BBLh,3,2,5,0.6
BBLj,4,6,10,0.4
BBLl,5,2,7,0.71
BBLm,10,6,16,0.62
BBLn,12,14,26,0.46
BBLs,1,2,3,0.33
BBLt,2,0,2,1.0
BBMB,15,27,42,0.36
BBMD,1,1,2,0.5
BBMI,0,0,0,
BBML,7,5,12,0.58
BBMM,19,26,45,0.42
BBMN,23,24,47,0.49
BBMP,25,31,56,0.45
BBMS,7,7,14,0.5
BBMb,21,22,43,0.49
BBMh,16,17,33,0.48
BBMj,9,1,10,0.9
BBMl,9,4,13,0.69
BBMm,21,10,31,0.68
BBMn,42,24,66,0.64
BBMs,8,5,13,0.62
BBMt,4,1,5,0.8
BBNB,21,24,45,0.47
BBND,2,0,2,1.0
BBNH,4,4,8,0.5
BBNK,0,2,2,0.0
BBNL,12,10,22,0.55
BBNM,17,39,56,0.3
BBNN,38,41,79,0.48
BBNP,57,58,115,0.5
BBNS,14,8,22,0.64
BBNb,29,25,54,0.54
BBNh,10,13,23,0.43
BBNl,20,20,40,0.5
BBNm,16,25,41,0.39
BBNn,37,53,90,0.41
BBNs,24,10,34,0.71
BBNt,4,5,9,0.44
BBPB,39,32,71,0.55
BBPD,0,2,2,0.0
BBPH,5,9,14,0.36
BBPI,1,1,2,0.5
BBPK,3,1,4,0.75
BBPL,17,15,32,0.53
BBPM,42,41,83,0.51
BBPN,32,37,69,0.46
BBPP,68,66,134,0.51
BBPS,14,31,45,0.31
BBPb,39,38,77,0.51
BBPh,1,1,2,0.5
BBPl,26,18,44,0.59
BBPm,33,27,60,0.55
BBPn,32,41,73,0.44
BBPs,25,20,45,0.56
BBPt,4,3,7,0.57
BBSB,6,9,15,0.4
BBSD,0,4,4,0.0
BBSH,3,5,8,0.38
BBSL,3,4,7,0.43
BBSM,8,6,14,0.57
BBSN,9,10,19,0.47
BBSP,13,15,28,0.46
BBSS,13,8,21,0.62
BBSb,11,11,22,0.5
BBSh,3,13,16,0.19
BBSl,8,3,11,0.73
BBSm,6,5,11,0.55
BBSn,8,17,25,0.32
BBSs,9,10,19,0.47
BBSt,0,1,1,0.0
BBbB,22,27,49,0.45
BBbD,1,1,2,0.5
BBbH,11,8,19,0.58
BBbI,3,2,5,0.6
BBbJ,12,11,23,0.52
BBbK,3,2,5,0.6
BBbL,11,15,26,0.42
BBbM,29,32,61,0.48
BBbN,34,46,80,0.42
BBbP,44,36,80,0.55
BBbS,12,18,30,0.4
BBbb,31,45,76,0.41
BBbl,19,11,30,0.63
BBbm,28,23,51,0.55
BBbn,32,40,72,0.44
BBbs,18,15,33,0.55
BBhB,1,3,4,0.25
BBhH,1,0,1,1.0
BBhL,4,0,4,1.0
BBhM,1,1,2,0.5
BBhN,5,2,7,0.71
BBhP,5,5,10,0.5
BBhS,1,3,4,0.25
BBhb,6,3,9,0.67
BBhh,1,3,4,0.25
BBhl,0,0,0,
BBhm,1,2,3,0.33
BBhn,4,3,7,0.57
BBhs,1,5,6,0.17
BBjB,11,9,20,0.55
BBjH,2,1,3,0.67
BBjI,0,0,0,
BBjL,3,4,7,0.43
BBjM,6,6,12,0.5
BBjN,5,11,16,0.31
BBjP,16,13,29,0.55
BBjS,4,6,10,0.4
BBjb,9,12,21,0.43
BBjh,3,5,8,0.38
BBjl,7,6,13,0.54
BBjm,9,7,16,0.56
BBjn,14,8,22,0.64
BBjs,4,5,9,0.44
BBjt,1,1,2,0.5
BBlB,4,12,16,0.25
BBlD,1,2,3,0.33
BBlH,5,10,15,0.33
BBlI,2,1,3,0.67
BBlJ,1,2,3,0.33
