candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,20,15,35,0.57
BBBD,1,1,2,0.5
BBBL,6,4,10,0.6
BBBM,14,10,24,0.58
BBBN,17,20,37,0.46
BBBP,15,16,31,0.48
BBBS,4,7,11,0.36
BBBb,19,14,33,0.58
BBBj,3,5,8,0.38
BBBl,2,8,10,0.2
BBBm,17,12,29,0.59
BBBn,16,20,36,0.44
BBBs,6,5,11,0.55
BBBt,2,2,4,0.5
BBDB,1,0,1,1.0
BBDH,0,2,2,0.0
BBDL,2,2,4,0.5
BBDM,0,2,2,0.0
BBDN,0,3,3,0.0
BBDP,2,1,3,0.67
BBDS,0,1,1,0.0
BBDb,0,1,1,0.0
BBDl,0,0,0,
BBDm,0,1,1,0.0
BBDn,1,1,2,0.5
BBDs,1,0,1,1.0
BBHh,1,0,1,1.0
BBKB,1,0,1,1.0
BBKI,1,0,1,1.0
BBKM,3,0,3,1.0
BBKP,0,1,1,0.0
BBKb,2,0,2,1.0
BBKh,0,1,1,0.0
BBKm,2,2,4,0.5
BBKn,2,0,2,1.0
BBKs,1,0,1,1.0
BBLB,4,3,7,0.57
BBLL,0,1,1,0.0
BBLM,2,3,5,0.4
BBLN,3,7,10,0.3
BBLP,4,7,11,0.36
BBLS,2,3,5,0.4
BBLb,4,5,9,0.44
BBLh,1,2,3,0.33
BBLj,2,2,4,0.5
BBLl,3,0,3,1.0
BBLm,5,4,9,0.56
BBLn,2,1,3,0.67
BBLs,1,1,2,0.5
BBMB,5,8,13,0.38
BBMD,0,1,1,0.0
BBMI,0,0,0,
BBML,2,2,4,0.5
BBMM,9,9,18,0.5
BBMN,11,9,20,0.55
BBMP,4,11,15,0.27
BBMS,3,4,7,0.43
BBMb,10,7,17,0.59
BBMh,9,5,14,0.64
BBMj,2,0,2,1.0
BBMl,5,4,9,0.56
BBMm,11,4,15,0.73
BBMn,21,9,30,0.7
BBMs,4,0,4,1.0
BBMt,2,1,3,0.67
BBNB,6,11,17,0.35
BBND,1,0,1,1.0
BBNH,2,1,3,0.67
BBNK,0,1,1,0.0
BBNL,5,3,8,0.62
BBNM,5,18,23,0.22
BBNN,14,15,29,0.48
BBNP,21,28,49,0.43
BBNS,8,5,13,0.62
BBNb,12,9,21,0.57
BBNh,3,5,8,0.38
BBNl,7,6,13,0.54
BBNm,7,11,18,0.39
BBNn,11,29,40,0.28
BBNs,12,3,15,0.8
BBNt,2,4,6,0.33
BBPB,23,15,38,0.61
BBPD,0,1,1,0.0
BBPH,5,4,9,0.56
BBPI,1,1,2,0.5
BBPL,7,6,13,0.54
BBPM,12,22,34,0.35
BBPN,11,16,27,0.41
BBPP,30,34,64,0.47
BBPS,5,16,21,0.24
BBPb,22,19,41,0.54
BBPh,1,1,2,0.5
BBPl,11,8,19,0.58
BBPm,15,8,23,0.65
BBPn,10,19,29,0.34
BBPs,11,6,17,0.65
BBPt,0,1,1,0.0
BBSB,5,4,9,0.56
BBSD,0,3,3,0.0
BBSH,1,4,5,0.2
BBSL,3,0,3,1.0
BBSM,2,3,5,0.4
BBSN,3,4,7,0.43
BBSP,10,9,19,0.53
BBSS,7,3,10,0.7
BBSb,5,7,12,0.42
BBSh,0,4,4,0.0
BBSl,6,2,8,0.75
BBSm,1,3,4,0.25
BBSn,4,4,8,0.5
BBSs,6,4,10,0.6
BBSt,0,1,1,0.0
BBbB,7,12,19,0.37
BBbH,4,3,7,0.57
BBbI,1,0,1,1.0
BBbJ,4,6,10,0.4
BBbK,2,0,2,1.0
BBbL,5,6,11,0.45
BBbM,12,15,27,0.44
BBbN,15,24,39,0.38
BBbP,19,17,36,0.53
BBbS,6,9,15,0.4
BBbb,13,12,25,0.52
BBbl,8,5,13,0.62
BBbm,16,11,27,0.59
BBbn,14,14,28,0.5
BBbs,3,6,9,0.33
BBhH,1,0,1,1.0
BBhL,3,0,3,1.0
BBhM,0,1,1,0.0
BBhN,1,1,2,0.5
BBhP,1,2,3,0.33
BBhS,0,1,1,0.0
BBhb,2,0,2,1.0
BBhm,0,2,2,0.0
