candlestick_code3,label_increase,label_decrease,occurrence,percentage
BBB,134,153,287,0.47
BBD,12,9,21,0.57
BBH,1,0,1,1.0
BBK,5,11,16,0.31
BBL,47,32,79,0.59
BBM,83,97,180,0.46
BBN,123,140,263,0.47
BBP,171,173,344,0.5
BBS,46,60,106,0.43
BBb,136,132,268,0.51
BBh,8,11,19,0.42
BBj,43,35,78,0.55
BBl,42,56,98,0.43
BBm,105,98,203,0.52
BBn,152,148,300,0.51
BBs,49,49,98,0.5
BBt,16,18,34,0.47
BDB,6,5,11,0.55
BDD,1,2,3,0.33
BDH,3,8,11,0.27
BDI,1,0,1,1.0
BDL,5,7,12,0.42
BDM,6,8,14,0.43
BDN,7,10,17,0.41
BDP,12,11,23,0.52
BDS,4,8,12,0.33
BDb,5,12,17,0.29
BDh,0,1,1,0.0
BDl,2,0,2,1.0
BDm,6,4,10,0.6
BDn,11,8,19,0.58
BDs,4,10,14,0.29
BDt,2,2,4,0.5
BHB,1,1,2,0.5
BHI,1,0,1,1.0
BHL,0,1,1,0.0
BHM,3,2,5,0.6
BHN,0,1,1,0.0
BHP,1,2,3,0.33
BHS,1,0,1,1.0
BHb,0,1,1,0.0
BHh,1,0,1,1.0
BHm,1,1,2,0.5
BHs,0,1,1,0.0
BIH,0,1,1,0.0
BIM,1,0,1,1.0
BIn,0,0,0,
BKB,10,7,17,0.59
BKH,2,0,2,1.0
BKI,2,0,2,1.0
BKL,1,0,1,1.0
BKM,9,4,13,0.69
BKN,2,5,7,0.29
BKP,9,11,20,0.45
BKS,2,5,7,0.29
BKb,7,11,18,0.39
BKh,4,9,13,0.31
BKl,3,0,3,1.0
BKm,8,10,18,0.44
BKn,10,5,15,0.67
BKs,7,6,13,0.54
BLB,38,41,79,0.48
BLD,2,3,5,0.4
BLH,0,1,1,0.0
BLK,2,3,5,0.4
BLL,12,19,31,0.39
BLM,29,32,61,0.48
BLN,32,42,74,0.43
BLP,54,58,112,0.48
BLS,24,28,52,0.46
BLb,52,48,100,0.52
BLh,20,18,38,0.53
BLj,12,19,31,0.39
BLl,24,16,40,0.6
BLm,48,29,77,0.62
BLn,55,57,112,0.49
BLs,26,22,48,0.54
BLt,5,6,11,0.45
BMB,65,93,158,0.41
BMD,3,4,7,0.43
BMH,0,0,0,
BMI,0,0,0,
BMK,2,0,2,1.0
BML,32,30,62,0.52
BMM,73,91,164,0.45
BMN,74,95,169,0.44
BMP,117,138,255,0.46
BMS,33,52,85,0.39
BMb,108,108,216,0.5
BMh,71,69,140,0.51
BMj,25,22,47,0.53
BMl,31,47,78,0.4
BMm,77,76,153,0.5
BMn,151,122,273,0.55
BMs,59,55,114,0.52
BMt,13,10,23,0.57
BNB,98,108,206,0.48
BND,8,11,19,0.42
BNH,21,17,38,0.55
BNI,1,0,1,1.0
BNK,4,9,13,0.31
BNL,30,40,70,0.43
BNM,81,98,179,0.45
BNN,145,160,305,0.48
BNP,193,224,417,0.46
BNS,65,66,131,0.5
BNb,130,111,241,0.54
BNh,36,55,91,0.4
BNl,63,56,119,0.53
BNm,110,107,217,0.51
BNn,163,182,345,0.47
BNs,101,72,173,0.58
BNt,24,27,51,0.47
BPB,150,163,313,0.48
BPD,7,9,16,0.44
BPH,36,45,81,0.44
BPI,13,11,24,0.54
BPK,7,15,22,0.32
BPL,70,91,161,0.43
BPM,127,152,279,0.46
BPN,191,170,361,0.53
BPP,285,283,568,0.5
BPS,94,102,196,0.48
BPb,168,152,320,0.52
BPh,13,14,27,0.48
BPl,84,83,167,0.5
BPm,161,101,262,0.61
BPn,155,152,307,0.5
BPs,99,96,195,0.51
BPt,14,14,28,0.5
BSB,47,44,91,0.52
BSD,3,13,16,0.19
BSH,13,20,33,0.39
BSI,2,0,2,1.0
BSK,1,1,2,0.5
BSL,24,24,48,0.5
BSM,46,64,110,0.42
BSN,45,63,108,0.42
BSP,102,81,183,0.56
BSS,53,58,111,0.48
BSb,60,50,110,0.55
BSh,33,36,69,0.48
BSl,40,23,63,0.63
BSm,57,50,107,0.53
BSn,65,75,140,0.46
BSs,58,63,121,0.48
BSt,5,6,11,0.45
BbB,114,136,250,0.46
BbD,6,9,15,0.4
BbH,33,36,69,0.48
BbI,21,10,31,0.68
BbJ,41,29,70,0.59
BbK,7,11,18,0.39
BbL,50,48,98,0.51
BbM,96,114,210,0.46
BbN,145,164,309,0.47
BbP,167,179,346,0.48
BbS,66,61,127,0.52
Bbb,148,121,269,0.55
Bbl,56,39,95,0.59
Bbm,106,67,173,0.61
Bbn,118,111,229,0.52
Bbs,67,47,114,0.59
BhB,7,9,16,0.44
BhH,2,1,3,0.67
BhI,0,1,1,0.0
BhK,1,0,1,1.0
BhL,10,5,15,0.67
BhM,7,12,19,0.37
BhN,19,9,28,0.68
BhP,17,21,38,0.45
BhS,6,9,15,0.4
Bhb,14,10,24,0.58
Bhh,5,7,12,0.42
Bhl,6,7,13,0.46
Bhm,9,10,19,0.47
Bhn,21,21,42,0.5
Bhs,8,11,19,0.42
Bht,0,5,5,0.0
BjB,46,34,80,0.57
BjD,2,1,3,0.67
BjH,9,11,20,0.45
BjI,2,3,5,0.4
BjK,3,1,4,0.75
BjL,11,20,31,0.35
BjM,33,41,74,0.45
BjN,26,42,68,0.38
BjP,62,55,117,0.53
BjS,12,25,37,0.32
Bjb,51,34,85,0.6
Bjh,8,8,16,0.5
Bjl,18,18,36,0.5
Bjm,33,25,58,0.57
Bjn,32,33,65,0.49
Bjs,16,18,34,0.47
Bjt,4,9,13,0.31
BlB,40,39,79,0.51
BlD,4,5,9,0.44
BlH,23,30,53,0.43
BlI,7,4,11,0.64
BlJ,13,11,24,0.54
BlK,0,2,2,0.0
BlL,16,19,35,0.46
BlM,37,50,87,0.43
BlN,49,56,105,0.47
BlP,63,58,121,0.52
BlS,43,36,79,0.54
Blb,49,42,91,0.54
Bll,16,23,39,0.41
Blm,38,35,73,0.52
Bln,41,36,77,0.53
Bls,26,37,63,0.41
BmB,75,83,158,0.47
BmD,17,11,28,0.61
BmH,70,65,135,0.52
BmI,8,7,15,0.53
BmJ,28,31,59,0.47
BmK,0,2,2,0.0
BmL,37,19,56,0.66
BmM,93,105,198,0.47
BmN,111,130,241,0.46
BmP,123,112,235,0.52
BmS,70,68,138,0.51
Bmb,96,86,182,0.53
Bml,44,20,64,0.69
Bmm,94,68,162,0.58
Bmn,103,84,187,0.55
Bms,49,50,99,0.49
BnB,128,104,232,0.55
BnD,20,12,32,0.62
BnH,68,57,125,0.54
BnI,28,21,49,0.57
BnK,6,11,17,0.35
BnL,38,59,97,0.39
