,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
5142,SPPN,49,54,0.52,103,0.5800000000000001,33,0.65,17,0.5,44,0.5700000000000001,56,0.62,26,0.5681818181818182,176
5143,SPPS,50,55,0.52,105,0.5,26,0.5,24,0.55,40,0.6599999999999999,35,0.75,28,0.5947712418300654,153
5147,SPSN,41,43,0.51,84,0.64,14,0.54,13,0.53,17,0.5700000000000001,14,0.5,14,0.5555555555555556,72
5165,SPmP,57,64,0.53,121,0.5800000000000001,31,0.5700000000000001,28,0.56,25,0.52,25,0.64,28,0.5766423357664233,137
5206,SSLN,15,25,0.62,40,0.6,5,0.5,4,0.62,8,1.0,4,0.6699999999999999,9,0.6666666666666666,30
5214,SSML,15,16,0.52,31,0.75,8,0.75,8,0.71,7,0.6699999999999999,6,0.5,6,0.6857142857142857,35
5252,SSlL,10,12,0.55,22,1.0,2,0.5,2,1.0,3,0.6699999999999999,3,0.5,2,0.75,12
5263,SSnB,39,48,0.55,87,0.7,10,0.5,14,0.65,20,0.75,8,0.5,10,0.6129032258064516,62
5271,SSsB,46,49,0.52,95,0.5,8,0.5,12,0.5,8,0.6699999999999999,9,0.5,10,0.5319148936170213,47
5273,SSsL,25,27,0.52,52,0.6,5,0.5700000000000001,7,0.7,10,0.75,4,0.83,6,0.6875,32
5282,SbBB,25,27,0.52,52,0.5,6,0.5700000000000001,14,0.61,18,0.5800000000000001,12,0.62,8,0.5862068965517241,58
5292,SbMM,29,51,0.64,80,0.77,13,0.6699999999999999,21,0.6699999999999999,9,0.5700000000000001,14,0.52,21,0.6282051282051282,78
5294,SbMh,29,30,0.51,59,0.6699999999999999,12,0.73,11,0.5700000000000001,14,0.56,16,0.6,10,0.6190476190476191,63
5333,Sbss,14,16,0.53,30,0.5,6,0.5,6,0.62,8,0.56,9,0.5700000000000001,7,0.5555555555555556,36
5351,ShNM,19,22,0.54,41,0.5,6,0.8,5,0.86,7,0.62,8,0.6,10,0.6666666666666666,36
5376,ShlN,12,12,0.5,24,1.0,2,0.83,6,0.75,8,0.6699999999999999,3,0.5,4,0.7391304347826086,23
5379,ShmM,27,34,0.56,61,1.0,11,0.6699999999999999,15,0.6,10,0.71,7,0.78,9,0.75,52
5388,ShsS,60,60,0.5,120,0.73,15,0.5,10,0.6699999999999999,15,0.61,18,0.62,8,0.6363636363636364,66
5398,SlMN,14,19,0.5800000000000001,33,0.75,4,1.0,1,0.5700000000000001,7,0.6699999999999999,9,0.71,7,0.6785714285714286,28
5400,SlMS,12,19,0.61,31,0.5,8,0.62,8,0.6,5,0.7,10,0.71,7,0.631578947368421,38
5452,SmLs,15,15,0.5,30,0.62,8,0.5,6,0.6699999999999999,9,1.0,1,1.0,6,0.7,30
