candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,13,11,24,0.54
BBBD,1,1,2,0.5
BBBK,0,1,1,0.0
BBBL,2,3,5,0.4
BBBM,10,4,14,0.71
BBBN,7,11,18,0.39
BBBP,11,13,24,0.46
BBBS,0,2,2,0.0
BBBb,11,15,26,0.42
BBBh,1,1,2,0.5
BBBj,2,3,5,0.4
BBBl,2,4,6,0.33
BBBm,2,8,10,0.2
BBBn,9,11,20,0.45
BBBs,1,2,3,0.33
BBBt,1,1,2,0.5
BBDL,0,0,0,
BBDN,0,1,1,0.0
BBDP,0,1,1,0.0
BBDb,0,0,0,
BBDl,0,1,1,0.0
BBDm,4,0,4,1.0
BBHL,0,1,1,0.0
BBHM,1,0,1,1.0
BBHP,1,0,1,1.0
BBKB,2,0,2,1.0
BBKI,1,0,1,1.0
BBKL,0,1,1,0.0
BBKS,1,1,2,0.5
BBKb,1,0,1,1.0
BBKl,0,2,2,0.0
BBKm,0,0,0,
BBKn,2,1,3,0.67
BBKs,0,1,1,0.0
BBLB,5,0,5,1.0
BBLL,2,2,4,0.5
BBLM,1,4,5,0.2
BBLN,1,3,4,0.25
BBLP,6,4,10,0.6
BBLS,0,1,1,0.0
BBLb,2,2,4,0.5
BBLh,1,0,1,1.0
BBLj,2,2,4,0.5
BBLl,2,2,4,0.5
BBLm,1,1,2,0.5
BBLn,6,10,16,0.38
BBLs,0,0,0,
BBLt,2,0,2,1.0
BBMB,5,13,18,0.28
BBMD,1,0,1,1.0
BBML,1,1,2,0.5
BBMM,7,6,13,0.54
BBMN,6,6,12,0.5
BBMP,10,8,18,0.56
BBMS,2,1,3,0.67
BBMb,5,9,14,0.36
BBMh,1,8,9,0.11
BBMj,5,0,5,1.0
BBMl,4,0,4,1.0
BBMm,4,5,9,0.44
BBMn,10,7,17,0.59
BBMs,2,3,5,0.4
BBNB,9,8,17,0.53
BBND,1,0,1,1.0
BBNH,1,1,2,0.5
BBNK,0,0,0,
BBNL,1,4,5,0.2
BBNM,5,16,21,0.24
BBNN,12,18,30,0.4
BBNP,15,14,29,0.52
BBNS,5,2,7,0.71
BBNb,10,12,22,0.45
BBNh,2,2,4,0.5
BBNl,10,9,19,0.53
BBNm,4,9,13,0.31
BBNn,18,12,30,0.6
BBNs,8,4,12,0.67
BBNt,1,1,2,0.5
BBPB,7,9,16,0.44
BBPH,0,2,2,0.0
BBPK,2,0,2,1.0
BBPL,6,4,10,0.6
BBPM,19,9,28,0.68
BBPN,10,13,23,0.43
BBPP,27,17,44,0.61
BBPS,6,11,17,0.35
BBPb,11,5,16,0.69
BBPl,11,5,16,0.69
BBPm,11,11,22,0.5
BBPn,18,12,30,0.6
BBPs,7,8,15,0.47
BBPt,3,2,5,0.6
BBSB,0,3,3,0.0
BBSH,2,1,3,0.67
BBSL,0,4,4,0.0
BBSM,4,2,6,0.67
BBSN,3,3,6,0.5
BBSP,1,3,4,0.25
BBSS,3,3,6,0.5
BBSb,3,3,6,0.5
BBSh,0,3,3,0.0
BBSl,1,1,2,0.5
BBSm,2,2,4,0.5
BBSn,3,5,8,0.38
BBSs,1,4,5,0.2
BBbB,11,6,17,0.65
BBbD,1,1,2,0.5
BBbH,1,5,6,0.17
BBbI,1,1,2,0.5
BBbJ,4,4,8,0.5
BBbK,0,2,2,0.0
BBbL,3,2,5,0.6
BBbM,6,10,16,0.38
BBbN,10,11,21,0.48
BBbP,13,11,24,0.54
BBbS,3,4,7,0.43
BBbb,7,17,24,0.29
BBbl,7,4,11,0.64
BBbm,5,5,10,0.5
BBbn,8,14,22,0.36
BBbs,11,6,17,0.65
BBhB,1,3,4,0.25
BBhL,1,0,1,1.0
BBhM,1,0,1,1.0
BBhN,2,1,3,0.67
BBhP,2,1,3,0.67
BBhS,0,1,1,0.0
BBhb,2,1,3,0.67
BBhh,0,1,1,0.0
BBhm,1,0,1,1.0
BBhn,1,1,2,0.5
BBhs,0,4,4,0.0
BBjB,3,1,4,0.75
BBjI,0,0,0,
BBjL,0,1,1,0.0
BBjM,0,3,3,0.0
BBjN,1,3,4,0.25
BBjP,4,3,7,0.57
BBjS,2,1,3,0.67
BBjb,4,3,7,0.57
BBjh,2,2,4,0.5
BBjl,0,1,1,0.0
BBjm,2,3,5,0.4
BBjn,3,4,7,0.43
BBjs,1,0,1,1.0
BBjt,0,1,1,0.0
BBlB,1,3,4,0.25
BBlD,0,1,1,0.0
BBlH,2,5,7,0.29
BBlJ,0,2,2,0.0
BBlL,1,0,1,1.0
BBlM,4,2,6,0.67
BBlN,4,4,8,0.5
BBlP,3,2,5,0.6
BBlS,1,1,2,0.5
BBlb,6,6,12,0.5
BBll,2,1,3,0.67
BBlm,7,4,11,0.64
BBln,7,3,10,0.7
BBls,0,2,2,0.0
BBmB,2,6,8,0.25
