,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
3,BBm,671,595,0.53,1266,0.52,252,0.56,224,0.52,203,0.56,119,0.51,126,0.5335497835497836,924
23,BMm,722,587,0.55,1309,0.54,270,0.58,245,0.5,153,0.53,158,0.55,173,0.5445445445445446,999
32,BPl,228,214,0.52,442,0.5,107,0.54,107,0.5,167,0.54,127,0.52,161,0.5171898355754858,669
40,BSm,385,345,0.53,730,0.54,125,0.58,129,0.53,107,0.7,70,0.51,80,0.5675146771037182,511
43,BbI,70,65,0.52,135,0.56,18,0.55,29,0.68,31,0.56,16,0.58,24,0.5932203389830508,118
48,Bbm,499,430,0.54,929,0.53,189,0.55,183,0.61,173,0.65,147,0.54,138,0.5734939759036145,830
62,Bjb,114,102,0.53,216,0.54,26,0.54,67,0.6,85,0.51,87,0.57,63,0.551829268292683,328
73,Blm,189,149,0.56,338,0.55,71,0.57,74,0.52,73,0.67,54,0.56,85,0.5686274509803921,357
78,BmP,611,619,0.5,1230,0.53,290,0.5,309,0.52,235,0.5,210,0.52,221,0.51699604743083,1265
81,Bmm,636,510,0.55,1146,0.54,274,0.55,239,0.58,162,0.53,86,0.54,118,0.5494880546075085,879
90,Bnm,783,635,0.55,1418,0.54,304,0.55,285,0.58,233,0.54,185,0.53,226,0.5482562854825629,1233
96,Bsn,273,271,0.5,544,0.54,112,0.57,120,0.53,99,0.55,67,0.5,101,0.5410821643286573,499
125,DLm,38,22,0.63,60,0.54,26,0.6,20,0.57,14,0.75,4,0.67,6,0.5857142857142857,70
144,DPm,128,92,0.58,220,0.57,105,0.55,78,0.61,28,0.65,17,0.62,21,0.5783132530120482,249
167,Dbm,88,62,0.59,150,0.56,68,0.51,57,0.5,12,0.5,12,0.58,12,0.5341614906832298,161
171,DlM,32,25,0.56,57,0.52,21,0.64,11,0.75,8,0.57,14,0.5,10,0.578125,64
172,DlP,30,22,0.58,52,0.52,21,0.62,8,0.56,16,0.67,12,0.64,11,0.5882352941176471,68
183,Dmn,107,74,0.59,181,0.57,75,0.56,43,0.56,16,0.5,14,0.5,22,0.5529411764705883,170
204,HBb,146,143,0.51,289,0.52,62,0.54,67,0.64,72,0.52,58,0.51,70,0.547112462006079,329
211,HDP,36,36,0.5,72,0.5,26,0.58,26,0.75,8,0.67,9,0.6,10,0.5822784810126582,79
213,HDb,30,21,0.59,51,0.56,18,0.62,13,0.78,9,0.6,5,0.62,8,0.6226415094339622,53
216,HHB,36,35,0.51,71,0.56,9,0.6,20,0.53,19,0.71,7,0.78,9,0.609375,64
224,HHm,69,58,0.54,127,0.55,11,0.64,25,0.55,20,0.5,4,0.5,12,0.5694444444444444,72
230,HIl,15,11,0.58,26,1.0,3,1.0,2,0.5,4,1.0,1,1.0,2,0.8333333333333334,12
247,HMm,339,315,0.52,654,0.55,104,0.54,102,0.56,77,0.57,63,0.54,85,0.5498839907192575,431
255,HNm,273,236,0.54,509,0.63,91,0.58,92,0.51,85,0.53,77,0.6,89,0.5691244239631337,434
266,HPs,256,236,0.52,492,0.55,69,0.5,72,0.52,104,0.57,103,0.55,98,0.5403587443946188,446
277,HSt,50,40,0.56,90,1.0,4,0.69,16,0.58,12,0.78,9,0.57,14,0.6727272727272727,55
308,HmJ,69,54,0.56,123,0.53,15,0.5,22,0.82,17,0.6,15,0.6,15,0.6071428571428571,84
313,Hms,180,174,0.51,354,0.55,55,0.61,61,0.5,34,0.56,34,0.57,46,0.5608695652173913,230
315,HnH,139,140,0.5,279,0.6,53,0.59,39,0.54,50,0.52,50,0.59,54,0.5691056910569106,246
335,Hts,38,27,0.58,65,0.57,7,0.62,8,0.75,4,0.67,3,0.75,8,0.6666666666666666,30
339,IBj,14,8,0.64,22,1.0,2,0.67,3,1.0,4,1.0,1,1.0,2,0.9166666666666666,12
348,ILN,26,17,0.6,43,1.0,1,0.5,8,0.6,10,0.62,8,0.78,9,0.6388888888888888,36
362,IPB,58,58,0.5,116,0.77,13,0.5,18,0.5,34,0.53,17,0.83,12,0.5851063829787234,94
406,JBm,32,29,0.52,61,0.5,12,0.75,12,0.55,11,0.8,5,0.62,8,0.625,48
409,JHm,14,14,0.5,28,0.6,10,0.67,6,1.0,6,0.5,2,0.6,5,0.6896551724137931,29
424,JNh,15,14,0.52,29,0.6,5,1.0,1,0.6,5,0.83,6,0.56,9,0.6538461538461539,26
431,JPm,52,39,0.57,91,0.5,16,0.54,24,0.56,16,0.5,22,0.67,9,0.5402298850574713,87
444,Jbm,38,24,0.61,62,0.64,11,0.5,16,0.57,7,0.62,21,0.69,16,0.6056338028169014,71
446,Jbs,15,12,0.56,27,0.6,5,0.67,3,0.8,5,0.8,5,0.8,5,0.7391304347826086,23
469,KBb,34,31,0.52,65,0.88,8,0.67,12,0.64,14,0.58,12,0.56,16,0.6451612903225806,62
478,KLb,15,9,0.62,24,0.6,5,1.0,1,0.5,6,0.71,7,0.62,8,0.6296296296296297,27
490,KPl,25,16,0.61,41,0.7,10,0.75,8,0.62,8,0.77,13,0.5,8,0.6808510638297872,47
502,Kbm,53,32,0.62,85,0.6,15,0.78,18,0.5,8,0.56,9,0.5,8,0.6206896551724138,58
514,KmJ,20,11,0.65,31,0.5,2,0.67,3,1.0,2,1.0,2,1.0,3,0.8333333333333334,12
