candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,23,14,37,0.62
BBBD,1,2,3,0.33
BBBH,0,0,0,
BBBK,0,3,3,0.0
BBBL,2,1,3,0.67
BBBM,5,20,25,0.2
BBBN,10,17,27,0.37
BBBP,11,23,34,0.32
BBBS,5,2,7,0.71
BBBb,10,14,24,0.42
BBBh,2,0,2,1.0
BBBj,2,2,4,0.5
BBBl,7,7,14,0.5
BBBm,12,8,20,0.6
BBBn,23,16,39,0.59
BBBs,7,7,14,0.5
BBDB,1,1,2,0.5
BBDD,4,2,6,0.67
BBDH,3,2,5,0.6
BBDL,2,1,3,0.67
BBDM,0,5,5,0.0
BBDN,2,2,4,0.5
BBDP,5,4,9,0.56
BBDS,2,1,3,0.67
BBDb,2,0,2,1.0
BBDl,0,1,1,0.0
BBDm,5,1,6,0.83
BBDn,2,3,5,0.4
BBDs,0,1,1,0.0
BBDt,0,1,1,0.0
BBHB,1,1,2,0.5
BBHM,0,1,1,0.0
BBHN,0,0,0,
BBHP,1,0,1,1.0
BBIs,0,0,0,
BBKB,0,4,4,0.0
BBKD,0,2,2,0.0
BBKM,3,0,3,1.0
BBKN,0,1,1,0.0
BBKP,2,2,4,0.5
BBKS,3,1,4,0.75
BBKb,1,0,1,1.0
BBKh,1,1,2,0.5
BBKm,1,3,4,0.25
BBKn,2,1,3,0.67
BBKs,1,0,1,1.0
BBLB,4,5,9,0.44
BBLD,1,2,3,0.33
BBLM,3,3,6,0.5
BBLN,3,2,5,0.6
BBLP,2,3,5,0.4
BBLS,1,0,1,1.0
BBLb,7,2,9,0.78
BBLh,0,0,0,
BBLj,0,2,2,0.0
BBLl,1,2,3,0.33
BBLm,4,6,10,0.4
BBLn,4,5,9,0.44
BBLs,1,1,2,0.5
BBMB,4,12,16,0.25
BBMD,2,2,4,0.5
BBMH,0,1,1,0.0
BBMK,1,0,1,1.0
BBML,2,0,2,1.0
BBMM,7,10,17,0.41
BBMN,3,9,12,0.25
BBMP,14,12,26,0.54
BBMS,4,7,11,0.36
BBMb,17,13,30,0.57
BBMh,1,8,9,0.11
BBMj,1,2,3,0.33
BBMl,3,4,7,0.43
BBMm,13,14,27,0.48
BBMn,10,16,26,0.38
BBMs,3,5,8,0.38
BBMt,1,2,3,0.33
BBNB,17,13,30,0.57
BBND,1,3,4,0.25
BBNH,2,4,6,0.33
BBNK,2,0,2,1.0
BBNL,2,4,6,0.33
BBNM,8,14,22,0.36
BBNN,17,20,37,0.46
BBNP,12,18,30,0.4
BBNS,1,5,6,0.17
BBNb,9,11,20,0.45
BBNh,5,3,8,0.62
BBNl,1,3,4,0.25
BBNm,14,17,31,0.45
BBNn,13,14,27,0.48
BBNs,9,2,11,0.82
BBNt,1,0,1,1.0
BBPB,15,17,32,0.47
BBPD,4,3,7,0.57
BBPH,4,1,5,0.8
BBPI,1,1,2,0.5
BBPK,0,1,1,0.0
BBPL,11,4,15,0.73
BBPM,12,16,28,0.43
BBPN,16,13,29,0.55
BBPP,21,20,41,0.51
BBPS,6,5,11,0.55
BBPb,11,9,20,0.55
BBPh,3,3,6,0.5
BBPl,7,6,13,0.54
BBPm,14,26,40,0.35
BBPn,22,18,40,0.55
BBPs,5,11,16,0.31
BBPt,1,1,2,0.5
BBSB,3,6,9,0.33
BBSD,0,1,1,0.0
BBSH,0,0,0,
BBSL,3,1,4,0.75
BBSM,4,4,8,0.5
BBSN,10,5,15,0.67
BBSP,6,4,10,0.6
BBSS,2,2,4,0.5
BBSb,6,1,7,0.86
BBSh,2,0,2,1.0
BBSl,2,0,2,1.0
BBSm,2,6,8,0.25
BBSn,3,5,8,0.38
BBSs,6,2,8,0.75
BBSt,0,0,0,
BBbB,14,8,22,0.64
BBbD,4,3,7,0.57
BBbH,4,2,6,0.67
BBbI,1,0,1,1.0
BBbJ,5,2,7,0.71
BBbK,1,2,3,0.33
BBbL,2,2,4,0.5
BBbM,11,8,19,0.58
BBbN,10,11,21,0.48
BBbP,12,22,34,0.35
BBbS,3,4,7,0.43
BBbb,5,12,17,0.29
BBbl,0,9,9,0.0
BBbm,16,14,30,0.53
BBbn,9,10,19,0.47
BBbs,3,4,7,0.43
BBhB,0,1,1,0.0
BBhD,1,0,1,1.0
BBhL,0,1,1,0.0
BBhM,0,0,0,
BBhP,2,3,5,0.4
BBhb,1,1,2,0.5
BBhh,1,1,2,0.5
BBhl,1,0,1,1.0
BBhm,1,0,1,1.0
BBhn,1,1,2,0.5
BBhs,1,0,1,1.0
BBjB,3,2,5,0.6
BBjD,0,1,1,0.0
BBjM,1,0,1,1.0
BBjP,1,5,6,0.17
BBjS,1,2,3,0.33
BBjb,2,2,4,0.5
BBjh,0,1,1,0.0
BBjm,1,0,1,1.0
BBjn,3,1,4,0.75
BBjs,1,0,1,1.0
BBjt,1,0,1,1.0
BBlB,3,4,7,0.43
BBlH,5,1,6,0.83
BBlJ,1,0,1,1.0
BBlL,2,1,3,0.67
BBlM,2,3,5,0.4
BBlN,2,5,7,0.29
BBlP,0,3,3,0.0
BBlS,1,2,3,0.33
BBlb,2,1,3,0.67
BBll,2,0,2,1.0
BBlm,6,3,9,0.67
BBln,3,4,7,0.43
BBls,1,2,3,0.33
BBmB,8,15,23,0.35
BBmD,5,4,9,0.56
BBmH,7,10,17,0.41
BBmI,2,1,3,0.67
BBmJ,1,2,3,0.33
BBmL,3,2,5,0.6
BBmM,5,19,24,0.21
BBmN,19,18,37,0.51
BBmP,12,13,25,0.48
BBmS,5,10,15,0.33
BBmb,11,5,16,0.69
BBml,2,4,6,0.33
BBmm,23,17,40,0.57
BBmn,11,6,17,0.65
BBms,8,11,19,0.42
BBnB,11,19,30,0.37
BBnD,1,3,4,0.25
BBnH,6,6,12,0.5
BBnI,2,2,4,0.5
BBnK,1,1,2,0.5
BBnL,3,6,9,0.33
BBnM,12,16,28,0.43
BBnN,20,20,40,0.5
BBnP,20,14,34,0.59
BBnS,10,10,20,0.5
BBnb,9,9,18,0.5
BBnh,1,2,3,0.33
BBnl,2,6,8,0.25
BBnm,19,14,33,0.58
BBnn,12,16,28,0.43
BBns,15,7,22,0.68
BBsB,5,6,11,0.45
BBsH,9,6,15,0.6
BBsI,1,0,1,1.0
BBsL,1,1,2,0.5
BBsM,1,3,4,0.25
BBsN,4,2,6,0.67
BBsP,5,3,8,0.62
BBsS,1,2,3,0.33
BBsb,2,1,3,0.67
BBsl,2,3,5,0.4
BBsm,5,6,11,0.45
BBsn,6,3,9,0.67
BBss,5,2,7,0.71
BBtB,0,1,1,0.0
BBtH,0,0,0,
BBtI,0,0,0,
BBtM,0,1,1,0.0
BBtN,2,0,2,1.0
BBtP,2,3,5,0.4
BBtS,1,1,2,0.5
BBtb,0,1,1,0.0
BBtm,1,1,2,0.5
BBtn,2,0,2,1.0
BBts,0,0,0,
BDBB,4,5,9,0.44
BDBD,0,0,0,
BDBK,0,1,1,0.0
BDBL,0,1,1,0.0
BDBM,1,3,4,0.25
BDBN,0,1,1,0.0
BDBP,3,3,6,0.5
BDBS,1,1,2,0.5
BDBb,2,1,3,0.67
BDBj,1,0,1,1.0
BDBl,1,0,1,1.0
BDBm,1,2,3,0.33
BDBn,2,4,6,0.33
BDBs,1,0,1,1.0
BDDB,2,2,4,0.5
BDDD,1,0,1,1.0
BDDH,0,5,5,0.0
BDDL,0,1,1,0.0
BDDM,0,2,2,0.0
BDDN,2,1,3,0.67
BDDP,3,1,4,0.75
BDDS,1,1,2,0.5
