,Name,length,direction,label_increase,label_decrease,occurrence,percentage,code
0,HAMMER,1,bullish,4808,5134,9942,0.48,H
1,MARUBOZU,1,bullish,6378,6828,13206,0.48,M
2,INVERTEDHAMMER,1,bullish,968,827,1795,0.54,I
3,PIERCING,2,bullish,197,194,391,0.5,lB
4,ENGULFING,2,bullish,5575,5729,11304,0.49,lM
5,HARAMI,2,bullish,6129,6115,12244,0.5,lP
6,COUNTERATTACK,2,bullish,2,3,5,0.4,bL
7,BELTHOLD,2,bullish,14426,14669,29095,0.5,PM
8,MORNINGSTAR,3,bullish,599,604,1203,0.5,bJM
9,3WHITESOLDIERS,3,bullish,370,429,799,0.46,MMM
10,3INSIDE,3,bullish,1126,1098,2224,0.51,bSM
11,3OUTSIDE,3,bullish,2677,2823,5500,0.49,bBN
12,3STARSINSOUTH,3,bullish,1,0,1,1.0,bns
13,TASUKIGAP,3,bullish,98,113,211,0.46,SBn
14,HIKKAKE,3,bullish,6952,6796,13748,0.51,nSm
15,3LINESTRIKE,4,bullish,421,349,770,0.55,PPNb
16,CONCEALBABYSWALL,4,bullish,0,1,1,0.0,mmsP
17,RISEFALL3METHODS,5,bullish,30,34,64,0.47,MnsPM
18,BREAKAWAY,5,bullish,2,0,2,1.0,lbmPB
19,LADDERBOTTOM,5,bullish,67,45,112,0.6,PllJN
20,MATHOLD,5,bullish,2,1,3,0.67,MjssM
21,HANGINGMAN,1,bearish,4174,4733,8907,0.47,h
22,MARUBOZU,1,bearish,5397,4086,9483,0.57,m
23,SHOOTINGSTAR,1,bearish,1559,1361,2920,0.53,t
24,DARKCLOUDCOVER,2,bearish,533,549,1082,0.49,Mb
25,ENGULFING,2,bearish,10176,9423,19599,0.52,Nl
26,HARAMI,2,bearish,3467,3439,6906,0.5,Bs
27,ONNECK,2,bearish,98,97,195,0.5,mP
28,COUNTERATTACK,2,bearish,2,4,6,0.33,Ll
29,2CROWS,2,bearish,29,31,60,0.48,jb
30,BELTHOLD,2,bearish,18369,16330,34699,0.53,bb
31,EVENINGSTAR,3,bearish,998,859,1857,0.54,Mjb
32,EVENINGDOJISTAR,3,bearish,356,296,652,0.55,Mjl
33,3BLACKCROWS,3,bearish,43,37,80,0.54,mmm
34,3INSIDE,3,bearish,651,623,1274,0.51,Bsb
35,3OUTSIDE,3,bearish,4780,4346,9126,0.52,Sss
36,ADVANCEBLOCK,3,bearish,2013,2068,4081,0.49,LNN
37,TASUKIGAP,3,bearish,68,84,152,0.45,bnS
38,HIKKAKE,3,bearish,7370,7222,14592,0.51,bPS
39,3LINESTRIKE,4,bearish,209,210,419,0.5,PnPB
40,RISEFALL3METHODS,5,bearish,37,26,63,0.59,bPShb
41,BREAKAWAY,5,bearish,7,3,10,0.7,MSSPb
