candlestick_code5,label_increase,label_decrease,occurrence,percentage
BBBBB,0,3,3,0.0
BBBBD,0,1,1,0.0
BBBBL,1,1,2,0.5
BBBBN,2,3,5,0.4
BBBBP,1,2,3,0.33
BBBBS,0,1,1,0.0
BBBBb,1,2,3,0.33
BBBBj,0,1,1,0.0
BBBBm,0,1,1,0.0
BBBBn,0,1,1,0.0
BBBDL,0,0,0,
BBBDm,1,0,1,1.0
BBBKn,0,1,1,0.0
BBBLM,1,1,2,0.5
BBBLb,0,1,1,0.0
BBBLl,1,0,1,1.0
BBBLn,0,0,0,
BBBMB,0,1,1,0.0
BBBML,0,1,1,0.0
BBBMM,1,1,2,0.5
BBBMN,1,3,4,0.25
BBBMP,1,0,1,1.0
BBBMS,0,1,1,0.0
BBBMb,1,0,1,1.0
BBBMl,1,0,1,1.0
BBBMn,0,1,1,0.0
BBBNM,0,2,2,0.0
BBBNN,0,4,4,0.0
BBBNP,1,3,4,0.25
BBBNb,1,2,3,0.33
BBBNl,0,1,1,0.0
BBBNm,0,0,0,
BBBNn,3,0,3,1.0
BBBNs,1,0,1,1.0
BBBPB,0,1,1,0.0
BBBPL,1,0,1,1.0
BBBPM,4,1,5,0.8
BBBPN,1,1,2,0.5
BBBPP,3,0,3,1.0
BBBPS,0,1,1,0.0
BBBPb,1,0,1,1.0
BBBPl,2,1,3,0.67
BBBPm,1,1,2,0.5
BBBPn,5,1,6,0.83
BBBPs,1,1,2,0.5
BBBPt,0,1,1,0.0
BBBSH,1,0,1,1.0
BBBSh,0,0,0,
BBBSn,0,0,0,
BBBbB,2,1,3,0.67
BBBbH,0,1,1,0.0
BBBbI,0,1,1,0.0
BBBbJ,1,1,2,0.5
BBBbL,1,1,2,0.5
BBBbM,0,1,1,0.0
BBBbN,0,3,3,0.0
BBBbP,1,1,2,0.5
BBBbS,0,1,1,0.0
BBBbb,0,4,4,0.0
BBBbm,0,2,2,0.0
BBBbn,2,2,4,0.5
BBBbs,1,2,3,0.33
BBBhL,1,0,1,1.0
BBBhm,1,0,1,1.0
BBBjM,0,1,1,0.0
BBBjb,1,1,2,0.5
BBBjl,0,1,1,0.0
BBBlD,0,1,1,0.0
BBBlL,1,0,1,1.0
BBBlb,0,1,1,0.0
BBBlm,1,0,1,1.0
BBBln,1,0,1,1.0
BBBls,0,1,1,0.0
BBBmH,2,0,2,1.0
BBBmN,1,0,1,1.0
BBBmP,4,0,4,1.0
BBBmb,0,2,2,0.0
BBBmn,1,2,3,0.33
BBBnB,0,1,1,0.0
BBBnD,1,0,1,1.0
BBBnH,0,1,1,0.0
BBBnI,1,0,1,1.0
BBBnL,0,1,1,0.0
BBBnM,1,1,2,0.5
BBBnN,2,0,2,1.0
BBBnP,0,1,1,0.0
BBBnS,0,1,1,0.0
BBBnb,1,1,2,0.5
BBBnh,0,1,1,0.0
BBBnm,1,1,2,0.5
BBBnn,0,3,3,0.0
BBBsH,0,0,0,
BBBsP,1,2,3,0.33
BBBsb,1,0,1,1.0
BBBtP,1,0,1,1.0
BBBtb,0,1,1,0.0
BBDLD,1,0,1,1.0
BBDNH,0,0,0,
BBDPP,0,1,1,0.0
BBDbP,0,1,1,0.0
BBDbs,0,1,1,0.0
BBDlb,0,1,1,0.0
BBDmB,0,0,0,
