candlestick_code4,label_increase,label_decrease,occurrence,percentage
BBBB,87,66,153,0.57
BBBD,6,9,15,0.4
BBBH,0,0,0,
BBBK,0,5,5,0.0
BBBL,17,9,26,0.65
BBBM,47,50,97,0.48
BBBN,55,72,127,0.43
BBBP,61,78,139,0.44
BBBS,16,17,33,0.48
BBBb,71,59,130,0.55
BBBh,6,2,8,0.75
BBBj,11,11,22,0.5
BBBl,17,23,40,0.42
BBBm,56,40,96,0.58
BBBn,75,75,150,0.5
BBBs,24,17,41,0.59
BBBt,5,8,13,0.38
BBDB,4,2,6,0.67
BBDD,7,2,9,0.78
BBDH,5,7,12,0.42
BBDI,0,1,1,0.0
BBDL,7,3,10,0.7
BBDM,0,8,8,0.0
BBDN,2,6,8,0.25
BBDP,10,10,20,0.5
BBDS,2,2,4,0.5
BBDb,4,3,7,0.57
BBDl,1,2,3,0.33
BBDm,12,2,14,0.86
BBDn,3,5,8,0.38
BBDs,3,4,7,0.43
BBDt,2,1,3,0.67
BBHB,1,1,2,0.5
BBHL,0,1,1,0.0
BBHM,2,1,3,0.67
BBHN,0,2,2,0.0
BBHP,2,1,3,0.67
BBHh,1,0,1,1.0
BBIs,0,0,0,
BBKB,3,4,7,0.43
BBKD,0,3,3,0.0
BBKH,1,0,1,1.0
BBKI,2,0,2,1.0
BBKL,0,1,1,0.0
BBKM,6,1,7,0.86
BBKN,2,1,3,0.67
BBKP,5,3,8,0.62
BBKS,4,4,8,0.5
BBKb,5,0,5,1.0
BBKh,1,4,5,0.2
BBKl,1,2,3,0.33
BBKm,4,5,9,0.44
BBKn,6,2,8,0.75
BBKs,4,1,5,0.8
BBLB,17,16,33,0.52
BBLD,1,3,4,0.25
BBLL,3,5,8,0.38
BBLM,11,16,27,0.41
BBLN,7,14,21,0.33
BBLP,22,24,46,0.48
BBLS,4,4,8,0.5
BBLb,19,16,35,0.54
BBLh,5,4,9,0.56
BBLj,8,10,18,0.44
BBLl,8,5,13,0.62
BBLm,14,17,31,0.45
BBLn,20,29,49,0.41
BBLs,5,4,9,0.56
BBLt,2,3,5,0.4
BBMB,25,49,74,0.34
BBMD,3,3,6,0.5
BBMH,0,1,1,0.0
BBMI,0,0,0,
BBMK,1,0,1,1.0
BBML,12,6,18,0.67
BBMM,33,48,81,0.41
BBMN,33,43,76,0.43
BBMP,46,56,102,0.45
BBMS,14,20,34,0.41
BBMb,47,44,91,0.52
BBMh,20,32,52,0.38
BBMj,13,7,20,0.65
