,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
1,BBBBn,9,15,0.62,24,0.5700000000000001,7,0.8,5,0.6699999999999999,3,1.0,1,1.0,1,0.7058823529411765,17
25,BMmNN,11,13,0.54,24,0.83,6,1.0,1,1.0,1,0.5,2,1.0,2,0.8333333333333334,12
27,BMnNn,11,16,0.5900000000000001,27,0.75,8,0.56,9,0.71,7,0.75,4,1.0,2,0.7,30
39,BNnNN,11,13,0.54,24,0.6,5,0.83,6,1.0,3,0.5,6,0.6699999999999999,6,0.6923076923076923,26
65,BmNNP,10,12,0.55,22,0.5,4,0.6,5,0.5,4,0.6699999999999999,3,0.62,8,0.5833333333333334,24
68,BmPPP,12,14,0.54,26,0.75,4,0.75,8,0.6699999999999999,6,0.5,4,0.6,5,0.6666666666666666,27
80,BnMnn,10,11,0.52,21,0.5,6,0.5,2,0.5,4,0.6699999999999999,3,0.75,4,0.5789473684210527,19
114,HSsSS,13,14,0.52,27,0.5,2,0.5,2,0.5,4,1.0,2,0.6699999999999999,3,0.6153846153846154,13
116,HsSSS,15,16,0.52,31,0.6699999999999999,3,1.0,1,1.0,3,1.0,1,1.0,2,0.9,10
127,MBBbN,13,16,0.55,29,0.5,6,0.5,2,0.75,4,1.0,1,1.0,1,0.6428571428571429,14
142,MBmMn,12,14,0.54,26,0.6699999999999999,3,0.75,4,0.5,2,0.5,2,0.5,2,0.6153846153846154,13
146,MBnBn,8,14,0.64,22,1.0,5,1.0,1,0.5,2,1.0,2,1.0,3,0.9230769230769231,13
148,MBnMn,9,13,0.5900000000000001,22,0.6,5,0.6,5,0.5,4,0.8,5,0.75,4,0.6521739130434783,23
195,MMnnn,10,13,0.5700000000000001,23,1.0,4,0.6,5,0.5,2,0.6699999999999999,3,0.86,7,0.7619047619047619,21
198,MNBnn,13,13,0.5,26,0.6699999999999999,3,0.75,4,0.75,4,0.5,4,0.5,4,0.631578947368421,19
254,MbNBn,9,16,0.64,25,0.6699999999999999,3,0.6699999999999999,6,1.0,2,0.5700000000000001,7,1.0,1,0.6842105263157895,19
256,MbNNN,10,12,0.55,22,0.56,9,0.6699999999999999,3,0.5,6,0.5700000000000001,7,0.5,10,0.5428571428571428,35
280,MmMmN,13,13,0.5,26,0.8,10,0.5,6,0.5,2,1.0,1,1.0,1,0.7,20
293,MmNPm,12,12,0.5,24,0.75,4,0.6699999999999999,3,0.5,2,0.5,6,0.5,2,0.5882352941176471,17
317,MmSNn,11,14,0.56,25,0.5,4,0.6699999999999999,3,1.0,3,0.5,2,0.75,4,0.6875,16
329,MmnNm,12,13,0.52,25,1.0,5,0.5,6,1.0,2,0.6699999999999999,3,1.0,4,0.8,20
331,MmnPm,9,12,0.5700000000000001,21,0.5,6,0.5,2,1.0,3,0.5,2,0.75,4,0.6470588235294118,17
379,MnPsN,14,14,0.5,28,0.5,2,0.5,6,0.56,9,0.5700000000000001,7,0.5,4,0.5357142857142857,28
387,MnmMh,10,18,0.64,28,0.5,6,0.5700000000000001,7,1.0,4,1.0,2,0.75,4,0.6956521739130435,23
392,MnnBn,10,14,0.5800000000000001,24,1.0,4,0.5,4,1.0,1,0.5,4,0.5,2,0.6666666666666666,15
395,MnnNM,8,13,0.62,21,0.6699999999999999,3,0.83,6,1.0,3,0.83,6,0.75,4,0.8181818181818182,22
415,MnsSS,20,20,0.5,40,1.0,2,0.5,2,1.0,2,0.6699999999999999,3,1.0,1,0.8,10
427,NBBPP,7,15,0.6799999999999999,22,0.5700000000000001,7,0.6699999999999999,3,0.78,9,0.6699999999999999,3,0.5,8,0.6333333333333333,30
455,NMbNP,12,14,0.54,26,0.6699999999999999,3,0.8,5,0.56,9,0.8,5,0.5700000000000001,7,0.6551724137931034,29
492,NNNBP,10,16,0.62,26,0.6,5,0.5,2,0.6699999999999999,3,0.5,2,0.6699999999999999,3,0.6,15
503,NNNSN,12,12,0.5,24,0.5,2,0.6699999999999999,3,1.0,1,0.5,4,0.5,4,0.5714285714285714,14
505,NNNnM,10,13,0.5700000000000001,23,0.6699999999999999,6,0.5,2,0.75,4,0.6699999999999999,6,0.6699999999999999,6,0.6666666666666666,24
509,NNPMM,10,11,0.52,21,0.5,4,1.0,1,0.75,4,0.6699999999999999,3,0.6699999999999999,6,0.6666666666666666,18
511,NNPNN,8,19,0.7,27,0.6699999999999999,3,0.62,8,0.5,10,0.6699999999999999,3,0.5,4,0.5714285714285714,28
521,NNPnM,9,15,0.62,24,1.0,2,0.56,9,0.5700000000000001,7,0.5,6,0.6,5,0.5862068965517241,29
533,NNnNM,11,11,0.5,22,0.5,10,0.73,11,0.75,4,0.6699999999999999,9,0.6,5,0.6410256410256411,39
535,NNnNs,10,12,0.55,22,0.5,2,1.0,1,0.8,5,0.5,4,1.0,1,0.6923076923076923,13
537,NNnPP,17,19,0.53,36,0.78,9,0.5,10,0.6,15,0.6,10,0.56,9,0.6037735849056604,53
555,NPMMB,10,12,0.55,22,1.0,2,0.5,6,0.5,2,0.71,7,0.5,2,0.631578947368421,19
608,NPnmN,10,14,0.5800000000000001,24,0.5,6,0.5,2,0.5,6,0.5,4,0.83,6,0.5833333333333334,24
622,NSSnS,11,11,0.5,22,1.0,1,0.6,5,0.5,2,0.75,4,1.0,1,0.6923076923076923,13
647,NmNnP,14,16,0.53,30,0.6699999999999999,6,0.6699999999999999,6,1.0,4,0.5,4,0.6,10,0.6666666666666666,30
681,NnNMb,11,11,0.5,22,1.0,3,1.0,2,0.5,2,0.6699999999999999,6,0.6699999999999999,9,0.7272727272727273,22
714,NnPSP,11,15,0.5800000000000001,26,0.6,5,0.6699999999999999,6,0.86,7,0.6699999999999999,6,0.71,7,0.7096774193548387,31
719,NnPsM,6,15,0.71,21,0.8,5,1.0,1,1.0,1,0.8,5,0.6699999999999999,3,0.8,15
757,NnnSs,9,12,0.5700000000000001,21,0.5,2,0.5,2,1.0,1,0.5,6,1.0,1,0.5833333333333334,12
773,NsSPs,12,14,0.54,26,1.0,2,1.0,3,0.8,5,0.6699999999999999,3,1.0,2,0.8666666666666667,15
774,NsSSM,7,14,0.6699999999999999,21,0.6699999999999999,3,0.5,4,0.5,2,1.0,1,0.6699999999999999,3,0.6153846153846154,13
792,PBPNP,6,18,0.75,24,0.5,6,0.5,4,0.5,8,0.5,4,1.0,2,0.5416666666666666,24
798,PBnPM,12,13,0.52,25,0.5,2,0.62,8,0.6699999999999999,3,0.5,6,0.71,7,0.6153846153846154,26
799,PBnPN,10,11,0.52,21,0.5,4,0.6699999999999999,3,0.75,4,0.5,6,0.56,9,0.5769230769230769,26
802,PMBBm,9,13,0.5900000000000001,22,0.6,5,0.6,5,1.0,2,0.6699999999999999,3,1.0,1,0.6875,16
804,PMBNm,11,12,0.52,23,1.0,3,0.5,4,0.6699999999999999,3,0.6699999999999999,3,0.71,7,0.7,20
815,PMPNP,9,13,0.5900000000000001,22,0.8,5,1.0,2,0.5,6,0.5,8,0.5700000000000001,14,0.6,35
833,PMnNN,11,11,0.5,22,0.83,6,0.62,8,0.6699999999999999,9,0.75,4,0.8,5,0.71875,32
838,PMnmN,12,13,0.52,25,0.75,4,0.6,5,0.6,5,0.5700000000000001,7,0.5,4,0.6,25
840,PNMBB,7,17,0.71,24,0.5,2,0.5,4,0.5,4,1.0,3,0.5,4,0.5882352941176471,17
855,PNPPs,10,18,0.64,28,0.5,4,0.5,2,0.56,9,0.5,8,0.5700000000000001,7,0.5333333333333333,30
899,PPMmn,11,14,0.56,25,1.0,1,0.5,2,0.6699999999999999,3,1.0,2,0.6699999999999999,3,0.7272727272727273,11
912,PPPMb,12,14,0.54,26,0.5,4,0.71,7,0.5,8,0.65,23,0.56,16,0.603448275862069,58
952,PSMPM,10,15,0.6,25,0.75,4,0.5,8,1.0,2,0.8,5,0.56,9,0.6428571428571429,28
982,PmNNN,11,12,0.52,23,0.71,7,0.73,11,1.0,5,0.5,4,1.0,5,0.78125,32
983,PmNPM,9,16,0.64,25,0.75,12,0.75,4,0.8,5,0.5,6,0.5,2,0.6896551724137931,29
984,PmNPP,11,18,0.62,29,0.5700000000000001,7,0.56,9,0.5,10,0.56,9,0.8200000000000001,11,0.6086956521739131,46
990,PmPNP,10,12,0.55,22,0.62,8,0.6699999999999999,3,0.5,8,0.86,7,0.8,5,0.6774193548387096,31
1001,PmmPM,11,17,0.61,28,0.5,6,0.6699999999999999,9,0.6699999999999999,3,0.5,2,0.5,10,0.5666666666666667,30
1017,PnnMn,10,11,0.52,21,1.0,2,0.6699999999999999,3,1.0,3,0.6699999999999999,6,0.6699999999999999,3,0.7647058823529411,17
1057,SSMnP,8,18,0.69,26,0.5,2,0.5,2,1.0,3,0.5,2,0.6699999999999999,3,0.6666666666666666,12
1063,SSSMM,16,17,0.52,33,1.0,1,0.71,7,0.5,2,0.5,2,0.5,2,0.6428571428571429,14
1070,SSSNP,10,14,0.5800000000000001,24,0.5,2,0.75,4,0.5,4,0.5,2,1.0,1,0.6153846153846154,13
1145,SsSmM,11,15,0.5800000000000001,26,0.6699999999999999,3,1.0,1,1.0,2,1.0,1,0.5,2,0.7777777777777778,9
1148,SsSsP,10,16,0.62,26,0.5,2,1.0,2,0.6699999999999999,3,0.5,2,0.6699999999999999,3,0.6666666666666666,12
1165,SsssP,11,13,0.54,24,0.5,4,0.5,4,0.5,4,1.0,4,0.5,2,0.6111111111111112,18
1179,bMbNs,8,13,0.62,21,1.0,1,0.5,2,0.6699999999999999,3,0.5,4,0.75,4,0.6428571428571429,14
1201,bNPMP,10,11,0.52,21,0.5,8,0.6699999999999999,3,1.0,6,0.5,6,0.62,8,0.6451612903225806,31
1219,bNnbP,11,13,0.54,24,0.75,8,0.6699999999999999,3,0.5700000000000001,7,0.88,8,0.75,4,0.7333333333333333,30
1226,bPPmM,11,11,0.5,22,0.78,9,0.5,2,1.0,3,0.5700000000000001,7,0.75,4,0.72,25
1242,bbbPP,10,13,0.5700000000000001,23,1.0,3,0.5,4,0.5700000000000001,7,0.6,5,0.7,10,0.6551724137931034,29
1250,bmMnP,13,14,0.52,27,0.75,4,0.6699999999999999,3,0.6699999999999999,6,0.75,4,0.5,2,0.6842105263157895,19
1251,bmNnM,10,11,0.52,21,0.6699999999999999,3,1.0,4,0.75,4,0.75,4,0.5,2,0.7647058823529411,17
1257,bnMnn,9,12,0.5700000000000001,21,0.5,6,0.5,2,0.5,2,0.5,8,0.5,4,0.5,22
1258,bnNNN,11,11,0.5,22,1.0,1,0.6699999999999999,3,0.5,2,0.6699999999999999,3,0.5,6,0.6,15
1282,mMNPM,6,15,0.71,21,1.0,3,0.5,2,1.0,4,0.8,5,0.6699999999999999,3,0.8235294117647058,17
1289,mMPNP,11,16,0.5900000000000001,27,0.5,8,0.75,4,0.6,5,0.6,5,0.6,10,0.59375,32
1359,mNNmM,8,18,0.69,26,0.8,5,1.0,1,0.5,2,0.6699999999999999,3,1.0,2,0.7692307692307693,13
1363,mNNnP,16,19,0.54,35,0.75,4,0.5,6,0.6699999999999999,3,0.54,13,0.64,11,0.5945945945945946,37
1364,mNNnS,12,19,0.61,31,1.0,2,0.5,4,0.6699999999999999,3,1.0,1,1.0,3,0.7692307692307693,13
1408,mNnnn,13,17,0.5700000000000001,30,0.83,6,0.6,10,1.0,4,0.8,5,0.6,5,0.7333333333333333,30
1491,mmNNP,12,16,0.5700000000000001,28,1.0,4,0.6,5,0.6,5,0.5,6,1.0,1,0.6666666666666666,21
1500,mmbbB,10,13,0.5700000000000001,23,0.5,4,0.6,5,0.75,4,0.6699999999999999,3,1.0,1,0.6470588235294118,17
1512,mnNPP,14,14,0.5,28,0.88,8,1.0,5,0.62,8,0.7,10,0.77,13,0.7727272727272727,44
1517,mnPMm,10,11,0.52,21,0.5,4,0.75,4,0.5,2,1.0,3,0.6,5,0.6666666666666666,18
1521,mnbbN,11,15,0.5800000000000001,26,0.83,6,0.6,5,0.5,4,0.6699999999999999,3,0.6699999999999999,3,0.6666666666666666,21
1523,mnmNN,12,13,0.52,25,0.5,6,0.5,6,1.0,2,0.5,2,0.5,4,0.55,20
1574,nNBnn,11,11,0.5,22,0.8,5,0.5,4,0.6,5,0.6,5,0.56,9,0.6071428571428571,28
1578,nNMnP,13,18,0.5800000000000001,31,1.0,2,0.5700000000000001,7,0.83,6,0.64,11,0.55,11,0.6486486486486487,37
1597,nNNsP,12,12,0.5,24,0.6699999999999999,3,0.75,4,0.5,4,0.6,5,0.75,4,0.65,20
1605,nNPPM,18,18,0.5,36,0.62,8,0.6,5,0.86,7,0.5,10,0.73,11,0.6585365853658537,41
1617,nNSsS,11,14,0.56,25,0.5,2,1.0,1,1.0,2,0.6699999999999999,3,0.75,4,0.75,12
1634,nNnNn,20,22,0.52,42,0.5700000000000001,7,0.56,9,0.5,6,0.56,9,0.55,11,0.5476190476190477,42
1635,nNnNs,12,16,0.5700000000000001,28,0.6,10,0.83,6,0.75,4,0.8,5,0.5,4,0.6896551724137931,29
1642,nNnmN,13,13,0.5,26,0.7,10,0.5700000000000001,7,0.6,5,1.0,3,0.5,4,0.6551724137931034,29
1653,nNsSM,15,16,0.52,31,0.6699999999999999,3,0.5,4,1.0,4,0.5,2,0.5,2,0.6666666666666666,15
1679,nPPNM,10,12,0.55,22,0.5,8,0.5700000000000001,7,0.5,8,0.7,10,0.6,10,0.5813953488372093,43
1709,nPmNP,12,14,0.54,26,0.5,8,0.6,5,0.5,6,0.71,7,0.5,6,0.5625,32
1715,nPnMn,10,15,0.6,25,0.6699999999999999,6,0.6699999999999999,3,1.0,5,0.6,10,0.64,11,0.6857142857142857,35
1719,nPsSs,12,12,0.5,24,0.8,5,0.6,5,0.8,5,0.75,4,0.5,2,0.7142857142857143,21
1731,nSSSS,12,15,0.56,27,0.5,2,0.6699999999999999,6,0.75,4,0.5,2,0.6699999999999999,3,0.6470588235294118,17
1747,nbMnN,14,15,0.52,29,0.5,6,0.75,4,0.75,4,0.55,11,0.6,5,0.6,30
1812,nnPPM,7,24,0.77,31,0.6,5,0.75,4,0.6699999999999999,3,0.5700000000000001,7,0.5700000000000001,14,0.6060606060606061,33
1828,nsNnS,10,13,0.5700000000000001,23,0.5,2,1.0,1,0.75,4,0.5,2,1.0,1,0.7,10
1842,sHsSM,9,13,0.5900000000000001,22,0.6,5,1.0,1,0.83,6,1.0,1,0.5,2,0.7333333333333333,15
1922,smMnM,10,11,0.52,21,0.75,4,0.6699999999999999,3,0.5,4,1.0,1,0.5,2,0.6428571428571429,14
