candlestick_code5,label_increase,label_decrease,occurrence,percentage
BBBBB,4,1,5,0.8
BBBBL,1,1,2,0.5
BBBBM,2,2,4,0.5
BBBBN,1,2,3,0.33
BBBBP,4,4,8,0.5
BBBBb,4,1,5,0.8
BBBBh,0,1,1,0.0
BBBBj,1,0,1,1.0
BBBBm,4,0,4,1.0
BBBBn,1,4,5,0.2
BBBBs,1,1,2,0.5
BBBDD,2,0,2,1.0
BBBDH,0,1,1,0.0
BBBDL,1,0,1,1.0
BBBDP,0,1,1,0.0
BBBDb,0,2,2,0.0
BBBDl,1,0,1,1.0
BBBDm,0,0,0,
BBBDs,1,0,1,1.0
BBBKH,1,0,1,1.0
BBBKP,1,0,1,1.0
BBBLB,0,1,1,0.0
BBBLD,0,1,1,0.0
BBBLM,0,1,1,0.0
BBBLP,1,1,2,0.5
BBBLn,0,1,1,0.0
BBBMB,1,3,4,0.25
BBBMM,0,1,1,0.0
BBBMN,1,1,2,0.5
BBBMP,0,3,3,0.0
BBBMS,0,2,2,0.0
BBBMh,0,2,2,0.0
BBBMl,0,1,1,0.0
BBBMm,1,0,1,1.0
BBBMn,0,4,4,0.0
BBBMs,0,0,0,
BBBNB,1,0,1,1.0
BBBNM,2,3,5,0.4
BBBNN,1,1,2,0.5
BBBNP,0,2,2,0.0
BBBNb,2,1,3,0.67
BBBNh,0,1,1,0.0
BBBNm,4,3,7,0.57
BBBNn,1,3,4,0.25
BBBNt,0,0,0,
BBBPB,2,2,4,0.5
BBBPH,1,2,3,0.33
BBBPM,1,1,2,0.5
BBBPN,0,2,2,0.0
BBBPP,2,5,7,0.29
BBBPb,0,2,2,0.0
BBBPl,1,2,3,0.33
BBBPm,4,2,6,0.67
BBBPn,0,2,2,0.0
BBBPs,1,0,1,1.0
BBBSB,0,1,1,0.0
BBBSH,0,1,1,0.0
BBBSL,0,0,0,
BBBSN,1,1,2,0.5
BBBSP,0,0,0,
BBBSS,0,1,1,0.0
BBBSm,1,2,3,0.33
BBBSn,0,1,1,0.0
